id_imdb,score_imdb,score_rt,director_imdb,screenwriters_imdb,plot_rt,duration_imdb,title_imdb
tt31615423,0.0,0,Dino Traber,Dino Traber,none,105,Dink Legacy
tt31624202,0.0,0,none,none,none,0,Tiger's Trigger
tt31629710,8.7,0,Jalal Merhi,Anthony Russell Bryant,none,90,The Circuit 4: Faith Fighter
tt31630821,0.0,0,none,none,none,0,Died Doin Dirty Work
tt31624258,7.3,0,none,none,0,0,Hijack 1971
tt31638408,0.0,0,Ikem Chude,Ikem Chude,none,110,Isabella: Diary of A Foster Girl
tt31644773,0.0,0,Gunnar Lindholm,Gunnar Lindholm,none,73,"Bernadotte, Louise & Napoleon"
tt31645102,5.0,41,Hesheng Xiang,Xingchen Wang,"Filmmaker Terri Flores (Jennifer Lopez) is traveling deep in the Amazon jungle looking for a forgotten tribe. Terri and her crew, which includes an anthropologist (Eric Stoltz) and a cameraman (Ice Cube), come across Paul (Jon Voight), who is stranded on the riverbank. He offers to help them find the tribe, but his secretive behavior puts everyone on edge. They realize too late that he's using them to find a legendary anaconda that's worth a fortune -- if they can catch it.",84,Anaconda
tt31645600,0.0,0,none,none,none,0,Remand
tt31690646,0.0,0,David Penn,Mack Mecca,none,0,Robbin' Hoods
tt31692378,0.0,0,none,none,none,0,The Birth
tt31704401,6.0,0,Suiqiang Huo,Ma Lao,none,102,Ji e
tt30150907,5.5,0,none,none,none,0,Justice League: Crisis on Infinite Earths - Part Two
tt31066103,8.2,0,Lukasz Lukasox,Lukasz Lukasox,none,0,PW V: Tears of the Fallen
tt31557623,0.0,0,Jun'ichi Ishikawa,Masamitsu Nigatsu,none,0,Akabane Honeko no Bodyguard
tt31563873,0.0,0,John Gabito Angel,John Gabito Angel,none,0,Las Viudas del Capo 2
tt31718662,0.0,0,James Balsamo,James Balsamo,none,0,Karate Cops
tt31721742,0.0,0,Igor Vrtacnik,Igor Vrtacnik,none,0,Maverick from the edge
tt31725814,8.4,0,none,none,none,149,Surrender
tt31790164,0.0,0,Tony Cole,Tony Cole,none,0,The Club III
tt31789137,0.0,0,Simosh Sunuwar,Pradeep Bhardwaj,0,0,Hattichhap
tt31804488,8.4,0,Shankar Gowda,Shankar Gowda,none,122,Kempe Gowda 2
tt31806053,0.0,0,Naoki Miyahara,Yôichi Katô,none,0,Wandafuru Purikyua! Za mubi! Doki Doki Game no Sekai de Daiboken
tt31806068,7.6,0,Sebastian Sommer,Sebastian Sommer,none,0,Dragon
tt31850446,7.2,91,Awie,Awie,"When Kamal resolves to change his life for the better, he leaves Belgium to help war victims in Syria. But, having arrived, he is forced to join a militia and is left stranded in Raqqa. Back home, his younger brother Nassim quickly becomes easy prey for radical recruiters, who promise to reunite him with his brother. Their mother, Leila, fights to protect the only thing she has left: her youngest son.",100,Rebel
tt31851880,0.0,0,Hui Tong,Fan Ban,none,85,Di Renjie zhi Tongtian xuan an
tt31869664,5.7,0,none,none,none,0,Baki Hanma vs. Kengan Ashura
tt31888121,0.0,0,Sky Star,Amaya CherryPie,none,98,Kek 2
tt31898764,0.0,0,Sunil Pandey,Santosh kumar Singh,none,0,Gauri Shankar ki Prem Kahani
tt31946567,6.7,0,Matt Hullum,Burnie Burns,none,0,Red vs. Blue: Restoration
tt31948043,0.0,0,none,none,none,0,Pottel
tt31948772,9.3,0,Pamela Castro,Pamela Castro,none,67,"La Protegida, La Película"
tt31951179,0.0,0,M Raahim,Shabnam Bubly,none,0,Jongli
tt31962200,0.0,0,SS Swamy,SS Swamy,none,132,Simhadwani
tt31973838,0.0,0,Tongjiang Hou,none,none,0,Tian Keng Ying Lie
tt31986077,8.6,0,none,none,none,131,Mercy Killing
tt32009405,0.0,0,Leonard Winaro,Zachary Potter,none,0,The SML YTP Movie 2: Dimension Trouble
tt32020028,8.8,0,none,none,"Taxi driver Appu is haunted by his past when his sister was killed by a eunuch who was also a powerful pimp. While trying to find him, he comes across another girl who is about to meet the same fate.",92,Appu
tt32027823,8.5,0,Gerardo Dorantes,Fabián Archondo,none,97,Correr para Vivir
tt32044730,0.0,0,Paul Anderson,Paul Anderson,none,92,The Codes of War
tt32058493,0.0,0,Shui-Ching Lai,Zihang Sun,none,72,Bride with the white hair
tt32044814,0.0,0,John M. Broadhead,Nicolas Billon,none,76,Tales Beyond the Galaxy
tt32063728,4.0,0,Alexander Witt,Diego Ayala,"The action-packed thriller follows the journey of Sayen, a Mapuche woman who uncovers a dangerous conspiracy led by an international corporation that is destroying her family's land and ravaging the local ecosystems throughout Chile, and takes it upon herself to bring these people to justice and save her family's legacy.",88,Sayen: La cazadora
tt32080771,0.0,0,none,none,none,150,Kung Fu
tt32081990,8.8,0,none,none,none,132,Roudhra Rupaya
tt32086021,6.5,0,Ryoo Seung-wan,Seung Wan Ryoo,"The veteran detective Seo Do-cheol (HWANG Jung-min) and his team at Major Crimes, relentless in their pursuit of criminals, join forces with rookie cop Park Sun-woo (JUNG Haein) to track down a serial killer who has plunged the nation into turmoil.",118,"I, the Executioner"
tt32094375,4.2,0,none,none,"In this sequel, Kevin Hart, now the world's biggest action star, finds himself the victim of an evil revenge plot and must enlist the help of his favorite co-star and his over-eager assistant if he wants to survive.",92,Muere Hart 2: Doble o nada
tt31722836,0.0,0,Claudia Martin,Alba Garcia,none,180,Soy creativa
tt31778961,6.6,0,LightningBlue,LightningBlue,"Two slackers set out on a relaxing getaway over the 4th of July weekend, only to find the seclusion slowly chipping away at their sanity.",0,Firework
tt32031888,0.0,0,none,none,none,0,Hard Ride
tt32244742,0.0,0,none,none,none,6,Jumping for Change
tt32250379,0.0,0,Zo Zosak,Isaac Jennings White,none,0,Bearer Bonded
tt32253114,0.0,0,Brian Hearsey,Brian Hearsey,none,11,Red-Handed
tt32253875,0.0,0,none,none,none,13,Sandbox
tt32258516,0.0,0,none,none,none,6,Unseen Genius
tt32262852,0.0,0,Jason Patanao,none,none,3,My Tongue Is Blue
tt32280738,0.0,0,Valeriy Pereverzev,Valeriy Pereverzev,none,4,Foucault
tt32283843,0.0,0,Raunak Kanade,Raunak Kanade,none,0,Azaad: Chapter 1
tt32283867,0.0,0,Team D.S. Creations,Dinesh Sudarshan Soi,none,0,"Lights, Camera, Lies"
tt32294960,0.0,0,Eugen Neagu,Eugen Neagu,none,0,Braccato
tt32295012,0.0,0,Lisabi Fridell,Lisabi Fridell,none,7,The Left Hand Path
tt32321725,0.0,0,none,none,none,6,The Act of Living
tt32331378,0.0,0,Santiago Rubido,David Liles,none,2,Los Invencibles
tt32331951,0.0,0,Frank Blake,Frank Blake,none,10,Dual Agency
tt32338071,0.0,0,Daryl Della,Daryl Della,none,40,Ninja Killface
tt32338644,0.0,0,none,3,Fangbreakers,0,0
tt32338952,0.0,0,Hazar Deniz BG,none,none,0,The Heartless - Son
tt32345479,0.0,0,Chris Hauselman,Chris Hauselman,none,15,The Baba Yaga
tt32351332,0.0,0,Amanda Siow,Amanda Siow,none,3,Headlights
tt32366418,0.0,0,Rauni Barros Da Silva,Fillipe Lezo,none,0,Oxford Writers Gang
tt32367789,10.0,0,Johichandru,Johichandru,none,11,Squad
tt32367935,0.0,0,Wil Jackson,Kyle Hodes,none,12,The Compound
tt32368013,0.0,0,none,none,none,0,Squad
tt32369604,0.0,0,Brendan Hylton,Brendan Hylton,none,15,Bulwark
tt32369612,0.0,0,Allistair Metcalfe,Beni Gottesman,none,0,Tom Action - Spy Man
tt32368262,0.0,0,Suraj Savkoor,Suraj Savkoor,none,7,Iron Jaw
tt32376216,0.0,0,none,none,none,0,Karma-The Chronicles of Hannibal
tt32400938,0.0,0,Rodrig Andrisan,Rodrig Andrisan,none,19,The Big Grumble
tt32400935,0.0,0,none,none,none,9,Strings of Sorrow
