actor_name,birth_year,known_for,actor_role,actor_awards
Abhay Chandru,none,Manasagide,Reparto,None
Bhumika Bhumesh,none,,Reparto,None
Bala Rajwadi,none,"Nee Maayeyolago Maaye Ninnolago, Gurudev Hoysala",Reparto,None
Manohar Gowda,none,Dichki Dezine,Reparto,None
Sadanand Kali,none,"Gulal.com, Hagga",Reparto,None
Jason Park,none,"Rex Park: Curse of the Golden Buddha, 96 Minutes","Dirección,  Producción,  Reparto",None
Ashanti Harris,none,"Clout, The Love Coach","Reparto,  Dirección,  Especialistas",Urban Action Showcase And Expo
Brandon Dunlap,none,"Four Amigos, Pizza Boy Rick","Reparto,  Composición,  Producción",None
Christopher Deon,none,"Shamed, Four Amigos","Reparto,  Producción,  Dirección",None
Luka Dingess,none,"Fast Atlanta, Four Amigos","Reparto,  Producción,  Dirección de fotografía y cámara",None
Paúl Ponce,none,"La Caça, Una buena canción de amor",Reparto,None
Vick Campbell,none,"Sakura Tournament, El Retorno de los Templarios","Dirección,  Guion,  Producción",Hollywood Blood Horror Festival
José Antonio M. Duque,none,Jo mai mai,"Equipos adicionales,  Reparto",None
Zahara Montoya,none,"Las Reglas del Nuevo Mundo, La leyenda del payaso asesino","Reparto,  Especialistas",None
Luis Lucky Sánchez,none,"Malditos fantasmas, Això no és Suècia","Equipos adicionales,  Reparto",None
Keith Ferguson,none,,"Reparto,  Equipos adicionales,  Banda sonora","Annie Awards, Behind the Voice Actors Awards"
Laura Post,none,"La Liga de la Justicia en acción, Batman: The Enemy Within","Reparto,  Sonido,  Equipos adicionales",Behind the Voice Actors Awards
Josh Brener,none,"The Last of Us, Mythic Quest: banquete de cuervos","Reparto,  Guion,  Producción",Maverick Movie Awards
Maya Aoki Tuttle,none,"Rick y Morty, Elemental","Reparto,  Edición,  Dirección",None
Emily Tunon,none,"Megamind Rules!, A.P. Bio","Reparto,  Maquillaje,  Equipos adicionales",None
Ashok Kumar Balakrishnan,none,"E-mail, Vizhithelu",Reparto,None
Ragini Dwivedi,1990,"Veera Madakari, Ragini IPS",Reparto,"Filmfare Awards South, South Indian International Movie Awards"
Aadhav Balaji,none,"Padikkadha Pakkangal, MeippadaSei",Reparto,None
Manobala,1953,"Thuppakki, Vetri Padigal","Reparto,  Dirección,  Guion",South Indian International Movie Awards
Danny Kwok-Kwan Chan,1975,"Kung Fu sion, Ip Man 3",Reparto,"Hong Kong Film Awards, Huading Award"
Miya Muqi,1987,"Vanguard, Mutant Ghost Wargirl",Reparto,None
Xing Yu,1978,"Ip Man, Guai Xia Yi Zhi Mei","Reparto,  Especialistas",None
Tat-Wah Lok,none,"The Brocade Mouse Royal Cat Nine Deep Blood Wolf, Hung dang kui",Reparto,None
Baotong Wang,none,,Reparto,None
Vijay Prasad,1987,Back Benchers,Reparto,None
Gayatri Rema,none,"Va Varalam Va, Ree",Reparto,None
Arumugam,none,,Reparto,None
Charli,none,,Reparto,None
Karthikeyan,none,,Reparto,None
Stephen Huynh,none,"Shi tu xing zhe, Shi tu xing zhe 2: Die ying xing dong",Reparto,None
Suk-Yin To,none,"Limbo, Cim hang",Reparto,None
Tera Alford,none,"Princess of the Trap House, The Queens Ball",Reparto,None
Tammi Rogers,none,"Stripped from Insanity, Penance","Reparto,  Producción,  Dirección de casting",None
Sorol Hasmot,none,"Trap, Anto Nagar",Reparto,None
Kazi Hayat,none,"Ammajan, Deshpremik","Reparto,  Guion,  Dirección","National Film Awards, Bangladesh"
Desh Islam,none,,Reparto,None
Mohammad Habib Khan,none,,"Guion,  Dirección,  Reparto",None
Sheuly Zaman,none,,Reparto,None
Ajay Kumar Kathurvar,none,"Vishwak, Mehbooba","Reparto,  Dirección,  Producción",None
Shweta Mehta,none,"Badho Bahu, Kaadiyan",Reparto,None
Kousi Orfahli,none,"Bhaag Milkha Bhaag, Agent Sai Srinivasa Athreya",Reparto,None
Alyssa Arredondo,none,,Reparto,None
Vincent Baesa,none,,"Reparto,  Guion,  Producción",None
Lorenzo Barragan,none,,Reparto,None
Lenny Guerrero Carballo,none,,Reparto,None
Stephanie Castro,none,,Reparto,None
Liam Aiken,none,Ranch,"Dirección,  Guion,  Reparto",None
James Asosi,none,"Thugs, SlasherPro","Reparto,  Producción",None
Justin Clink,none,Ranch,Reparto,None
Yuliya Galkina,none,"Zakhvat, Londongrad",Reparto,None
Igor Lifanov,none,"Brat, Dikiy",Reparto,None
Vera Neustroeva,none,,Reparto,None
Andrey Noskov,none,"Zamok, Do zvezdy!","Reparto,  Dirección,  Guion",None
Pavel Trubiner,1976,"Paragraf 78, Krym",Reparto,APKIT Awards
Eric Chen,none,"Happy Dragons, The Locksmith",Reparto,None
Freddie Ng,none,Gold,Reparto,None
Sam Chong,none,"Hungry Ghost Diner, Wira",Reparto,None
Remon Lim,none,"Mind Game, Cheongsam Merah Darah",Reparto,None
Jonathan Lee,none,"Happy Dragons, Taiping Adagio",Reparto,None
Franzi Schissler,none,"Hard Matter, Hollow Bedrooms","Reparto,  Producción,  Equipo ejecutivo",None
Justin Price,none,"I Heart Robots, Dream Walkers","Producción,  Dirección,  Reparto",None
Lela Gruber,none,,Reparto,None
Michele Chavez,none,Loneliest Number,Reparto,None
Aylin Sahin,none,,Reparto,None
Igor Zhizhikin,1965,"Deuda de sangre, Safe",Reparto,None
Michael Gor,1965,"El puente de los espías, Muere otro día",Reparto,None
Nastasya Samburskaya,none,"Prestizh, Koresha",Reparto,None
Gleb Kalyuzhnyy,1998,,"Reparto,  Producción",Sozvezdie
Nikita Kologrivyy,1994,"Koresha, Igor Grom contra el Doctor Peste","Reparto,  Producción",None
Titus Himmelberger,none,"Jurassic Shark 2: Aquapocalypse, Sharkenstein",Reparto,None
Natalie Himmelberger,none,"Sharkula, Jurassic Exorcist",Reparto,None
Ryan Dalton,none,"Jurassic Exorcist, Invasion of the Empire of the Apes",Reparto,None
Jamie Morgan,none,"Jurassic Shark 2: Aquapocalypse, ""Noahs Shark""","Reparto,  Equipos adicionales,  Sonido",None
Jay Welch,none,Instrument Assassins,Reparto,None
Bill Weeden,none,,"Reparto,  Sonido,  Guion","The Streamy Awards, GenreBlast Film Festival"
Leo Giannopoulos,none,"Alpha Rift, Anywhere","Reparto,  Especialistas,  Equipos adicionales",None
Patrick Heraghty,none,"Enemy of Reality, Sisters of the Cloth","Reparto,  Dirección de la segunda unidad o asistencia a dirección,  Producción","American Filmatic Arts Awards, Brooklyn, IndieX Film Festival"
Haneen Arafat Murphy,none,"Jam Jr, In the Lighter Hours","Guion,  Reparto",None
Trisha Ooi,none,"Janna Endoro, KL Gangster: Underworld","Reparto,  Especialistas",None
Pekin Ibrahim,none,"KL Wangan, Bunohan","Reparto,  Dirección,  Guion",Malaysian Film Festival
Syed Aiman,none,Janna Endoro,Reparto,None
Josiah Hogan,none,"KL Vampires, All Because of You",Reparto,None
Anna Asha,none,,"Reparto,  Producción",None
Birla Bose,none,"Virumandi, Enimey Nangadha Head Lines",Reparto,None
Devalla Kavitha,none,,Reparto,None
Saipraba Meena,none,Enimey Nangadha Head Lines,"Dirección,  Guion,  Reparto",None
Raj Mithran,none,,Reparto,None
Hanrey Low,none,"Ah Boys to Men 4, Yes Mdm.",Reparto,None
Jannassa Neo,none,,Reparto,None
Aden Tan,none,"Apprentice, Shen wang",Reparto,None
Grace Teo,none,"Siew Lup, Justice Liu - Curse of the Slow Fader","Reparto,  Especialistas",None
Yaodong Zhang,1977,"Disclosed, C.L.I.F.","Reparto,  Transporte",Asian Academy Creative Awards
DJ Perry,1970,"Best Years Gone, ""MBF: Mans Best Friend""","Producción,  Reparto,  Guion","Bare Bones International Film & Music Festival, East Lansing Film Festival"
Aimee Tenaglia,none,"In the Woods, In the Woods","Reparto,  Dirección de casting,  Equipos adicionales",None
Jim Greulich,none,"The Great Fear, Donors",Reparto,"ICVM Crown Awards, EQUUS Film Festival"
Buck Schirner,none,"In the Woods, Cost of a Soul",Reparto,None
Stuart MacDonald,none,"In the Woods, A World at Waste","Reparto,  Edición,  Producción",None
Rajveer Gurjar Bassi,none,"Shoot to Saltara, Aata","Reparto,  Equipos adicionales",None
Sahil Chandel,none,,Reparto,None
Jitendra Chawdi,none,,Reparto,None
Shravan Sagar Kalyan,none,"Bharkhama, Raju Rathod","Reparto,  Producción",None
Garima Kapoor,none,,Reparto,None
Lerato Mbhele,none,,Reparto,None
Andile Mxakaza,none,"Taxi Bosses, Housekeepers",Reparto,None
Anthony L Spears,none,"La Tribu, The Minstrel Killer","Sonido,  Reparto",None
Dominic Olivo,none,"Ming, Transformers One","Reparto,  Producción,  Equipos adicionales","Accolade Competition, Mindfield Film Festival Albuquerque"
Dorian Lockett,none,"The Walking Dead: The Game - Season 2, ""Jimmys Friends""","Reparto,  Casting",Behind the Voice Actors Awards
Jamella Cross,none,"Ultra Violence, Amber the Hammer",Reparto,None
Shahd Elkhier,none,"Paradox, Illumeably",Reparto,None
Iiro I. Rantala,none,2032: Pako Varissuolta,Reparto,None
Ville Palokas,none,,Reparto,None
Joni Raikunen,none,2032: Pako Varissuolta,Reparto,None
Olli Lehtonen,none,2032: Pako Varissuolta,"Dirección,  Reparto,  Guion",None
Eemeli Lehtonen,none,,Reparto,None
Rapheal Sheppard,none,,"Dirección,  Reparto,  Guion",None
Nykear Graham,none,,"Dirección,  Reparto,  Guion",None
Jay,none,Miles Morales: A New Spider-man,Reparto,None
Yûko Araki,1993,"Kamen raidâ Wizâdo, Crisis: Kôan Kidô Sôsatai Tokusô-han",Reparto,None
Kanna Hashimoto,1999,"Gintama, Assassination classroom",Reparto,Awards of the Japanese Academy
Yusuke Hirayama,none,"Alice in Borderland, Fuego Cruzado",Reparto,None
Jun Kaname,1981,"Kamen raidâ Agito, Gekijôban kamen raidâ Agito: Purojekutô jî fô",Reparto,None
Ainosuke Kataoka,none,"Kamen raidâ Gaimu, Baian the Assassin, M.D. Part 1",Reparto,None
Charity Lovely Badazz Alston,none,"Kill Em with A Smile, Too Little Too Late",Reparto,None
Richerra Bell,none,"The Set Up, ""A Strippers Dance""",Reparto,None
Reagan Bullard,none,,Reparto,None
Jikena Bush,none,"""A Strippers Dance"", Too Little Too Late",Reparto,None
Joshua Farmer,none,"What She Wants, Code of Envy",Reparto,None
Anand Bhatt,none,"La línea roja, Chicago Fire","Reparto,  Dirección,  Producción",None
Luisa Blanco,none,Raja 420,Reparto,None
Pankaj Chopra,none,"Boxes of Chocolates, What the Pugg",Reparto,None
Tony Lee Gratz,none,,Reparto,Couch Film Festival
Bhavini Jani,none,"Jhopadpatti, ""Valentines Day""",Reparto,None
Daiki Dohi,none,,"Reparto,  Equipos adicionales",None
Yuhei Fujii,none,,Reparto,None
Takeshi Ishida,none,,Reparto,None
Ippuku Ito,none,,"Reparto,  Especialistas",None
Makoto Iwaguchi,none,,Reparto,None
Jin Zhang,1974,"Pacific Rim: Insurrección, Tigre y dragón","Reparto,  Especialistas","Hong Kong Film Awards, Hundred Flowers Awards"
Le Geng,1974,"Sai Long duo jin, Kai wang chun tian de di tie",Reparto,"Hundred Flowers Awards, Asian Film Awards"
Meng Xia,none,"Mo lu kuang dao, 1921",Reparto,Tencent Video TV And Movie Award
Luxia Jiang,none,"Su Qi-er, Te zhan rong yao",Reparto,"Golden Rooster Awards, Hong Kong Film Awards"
Hua Liu,1961,"Qi chuan xu xu, Viaje al Oeste. Las aventuras del Rey Mono",Reparto,Huading Award
