actor_name,birth_year,know_for,actor_role,actor_awards
Ryan J. Austin,none,"Restaurant, Internet Insanity: Violence","Producción,  Dirección,  Guion",None
Atvty,none,,Reparto,None
Stephen J. Hooker,none,"Worst Agents Ever, My Awkward Youth","Reparto,  Guion,  Dirección",None
Zooey Deschanel,1980,"(500) días juntos, Trolls","Reparto,  Producción,  Música","American Comedy Awards, USA, Annie Awards"
Zachary Levi,1980,"Chuck, Enredados","Reparto,  Producción,  Dirección","Academy of Science Fiction, Fantasy & Horror Films, USA, Critics Choice Awards"
Jemaine Clement,1974,"Lo que hacemos en las sombras, Men in Black 3","Reparto,  Guion,  Producción","Annie Awards, ASCAP Film and Television Music Awards"
Alfred Molina,1953,"Frida, Boogie Nights","Reparto,  Producción,  Dirección","Academy of Science Fiction, Fantasy & Horror Films, USA, ALMA Awards"
Camille Guaty,none,"Prison Break, Cake","Reparto,  Producción,  Banda sonora",None
Ellie Stewart,none,"Residence, Surrogate",Reparto,"Conocido/a por, Más de esta persona"
Matt Mirams,none,"The Grand Scheme, Scams Incorporated","Guion,  Producción,  Dirección","Canberra Short Film Festival, Melbourne Underground Film Festival"
Tim Spriggs,none,,"Reparto,  Banda sonora,  Producción",None
James Mason,none,"Playing for Keeps, ""Ms Fishers Modern Murder Mysteries""","Reparto,  Producción,  Dirección de la segunda unidad o asistencia a dirección","Logie Awards, The Equity Ensemble Awards"
Ian Smith,1938,"Prisoner, Underbelly","Reparto,  Producción,  Guion y continuidad",Logie Awards
Henry Golding,1987,"The Gentlemen: Los señores de la mafia, Snake Eyes: el origen","Reparto,  Producción","National Board of Review, USA, Screen Actors Guild Awards"
Brandon Soo Hoo,1995,"G.I. Joe, El juego de Ender",Reparto,"Young Artist Awards, VC FilmFest - Los Angeles Asian Pacific Film Festival"
Lucy Liu,1968,"Los ángeles de Charlie, Chicago","Reparto,  Dirección,  Producción","Academy of Science Fiction, Fantasy & Horror Films, USA, American Comedy Awards, USA"
Sandra Oh,1971,"Entre copas, Anatomía de Grey","Reparto,  Producción,  Guion","Academy of Science Fiction, Fantasy & Horror Films, USA, Biarritz International Festival of Audiovisual Programming"
Michelle Yeoh,1962,"Tigre y dragón, Crazy Rich Asians","Reparto,  Producción,  Guion","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Amber Doig-Thorne,none,,"Reparto,  Producción,  Guion","Birmingham Film Festival, Stranger Days Independent Film Festival"
Bill Fellows,1957,,Reparto,Hull Gong Awards
Mark Spayne,none,"The Last Audition, Parallel Lies","Reparto,  Producción,  Dirección",None
Kennedy Simpson,none,Power Cut,Reparto,None
Emily-Jane Jones,none,"""This Time Next Year Ill Be Famous"", Cerulean","Reparto,  Localización","Conocido/a por, Más de esta persona"
Richard Tyson,1961,"Pánico a las tres, Black Hawk derribado","Reparto,  Producción,  Dirección","Great Lakes Film Festival, LA Femme International Film Festival"
Dawna Lee Heising,1953,"WordLotto, Timeless Classics: Cat on a Hot Tin Roof Monologue","Reparto,  Producción,  Edición","Berlin International Film Festival, Hamburg Film Festival"
Ron Chaney,none,"""Doctor Shockers Monster Campaign Ads 2012"", Agents of Project Blue Book","Reparto,  Producción",None
Aeon Cruz,none,"From Christmas, with Love, Christmas Cards","Reparto,  Producción,  Música",KAPOW Intergalactic Film Festival
Erika Monet Butters,none,"Soul to Keep, The Dead Rose","Reparto,  Equipos adicionales","Berlin International Film Festival, Krimson Horyzon International Film Festival"
Eivind Sander,none,"Det tredje øyet, Nissene på låven",Reparto,Gullruten
Per Christian Ellefsen,1954,"Un cuento gamberro de Navidad, Elsk meg i morgen",Reparto,"Rouen Nordic Film Festival, Amanda Awards, Norway"
Ingar Helge Gimle,none,"Absolutt blåmandag, Zombis nazis 2. Red vs. Dead","Reparto,  Producción","Amanda Awards, Norway, Kosmorama, Trondheim Internasjonale Filmfestival"
