actor_name,birth_year,known_for,actor_role,actor_awards
Charm Man Chan,none,"Sam foo, Even Ants Strive For Survival","Reparto,  Guion","Hong Kong Film Awards, Asian Film Awards"
Prathamesh Parab,1993,"Drishyam 2, Time Pass","Dirección,  Reparto",Filmfare OTT Awards
Prithvik Pratap,none,"Delivery Boy, Mamta Child Factory",Reparto,None
Ankita Landepatil,none,Mamta Child Factory,Reparto,None
Sudhakar Birajdar,none,Delivery Boy,Reparto,None
Sanskruti Balgude,1992,"Chowk, Ek Thriller Night",Reparto,"DRUK International Film Festival, Long Key International Film Awards"
Parth Bhalerao,2000,"Bhoothnath Returns, Dil Dosti Duniyadari","Reparto,  Música,  Banda sonora","National Film Awards, India, Apsara Film Producers Guild Awards"
Ila Bhate,none,"Mrugjal... Ek Naslela Astitva, Swarajya",Reparto,None
Ketaki Chikte,none,,Reparto,None
Dhruva Dattar,none,,Reparto,None
Petra Hrebícková,1979,"Rédl, Vsetko alebo nic","Reparto,  Equipos adicionales,  Banda sonora",None
Lenka Vlasáková,1972,"Zeny v pokusení, Kawasakiho ruze","Reparto,  Banda sonora",Czech Lions
Jaroslav Plesl,1974,"Kvarteto, Ctyri slunce","Reparto,  Guion,  Banda sonora",Czech Lions
Jana Svandová,none,"Dobrodruzství kriminalistiky, Kytice","Reparto,  Banda sonora",None
Valerie Vachkova,none,"La rueda del tiempo, Matka v trapu",Reparto,None
Mohamed Mamdouh,1981,"Abu Saddam, Zombie Goes Zombie",Reparto,"Cairo International Film Festival, Cairo National Festival for Egyptian Cinema"
Layla Olwi,none,"Baheb el cima, Qalil men el-Hubb Kathir men el-Unf",Reparto,"Cairo International Film Festival, Cairo National Festival for Egyptian Cinema"
Sayed Ragab,1950,"Abdu Mouta, Kira & El Gin","Reparto,  Guion",None
Shereen Reda,none,"Photocopy, Out of Order",Reparto,Cairo National Festival for Egyptian Cinema
Amr Wahba,none,"Parallel Universes, El marrajo","Reparto,  Guion,  Dirección",None
West Anthony,none,When Country Meets the City,Reparto,None
Shawn Bernard,none,When Country Meets the City,Reparto,None
