actor_name,birth_year,know_for,actor_role,actor_awards
Matthew Caffoe,none,"Banshees Ridge, Dunny Derby - The Legend of Derek Dallas & The Underbogs","Reparto,  Producción,  Guion",None
Karen Crone,none,"Divorcio en Hollywood, El mundo perdido",Reparto,None
Michael Deed,none,"Onwards, Harrow","Reparto,  Guion",None
Brendan Glanville,none,"East of Everything, El rastro del asesino","Reparto,  Dirección,  Guion",None
Matthew De Pompo,none,"Snuggles, Secrets of the Strings Part II","Reparto,  Guion,  Edición",None
Dylan Tollefson,none,"Chuck a Short Film, Quarter Life Crisis","Dirección de fotografía y cámara,  Cámara y electricidad,  Edición","New York Independent Cinema Awards, Indie Filmmaker Awards"
Jackson Walker,none,,"Dirección,  Reparto,  Guion",None
Jennifer Polania,none,"Pablo, Honey, La red social","Reparto,  Guion,  Producción",None
Sarah Oliver,none,"The New Adventures of Pinkgirl and The Scone, Resolution","Reparto,  Guion,  Producción","Independent Shorts Awards, WRPN Short, Tight & Loose Film Festival Competition"
Jay Pichardo,none,"Tapawingo, NCIS: Los Ángeles",Reparto,None
Keren Ashri,none,"The Last Mission, Fighting Olympus","Reparto,  Guion,  Producción",None
Paul Bianchi,none,"Deadpool The Musical 2 - Ultimate Disney Parody, Nobody Walks","Guion,  Reparto,  Diseño de producción",The Webby Awards
Will Akana,none,"Warigami, Present Trauma","Reparto,  Efectos especiales,  Equipos adicionales",None
Roma Scarano,none,"The Retrospective, Lockdown",Reparto,"168 Film Festival, US"
Conrad Toohey,none,"Static Discharged, Lockdown",Reparto,None
Jeff Willy,none,"Intergalactic Chronicles, Full Disclosure","Reparto,  Guion,  Producción","Accolade Competition, Best Shorts Competition"
David Emerson Wilson,none,,Reparto,None
Aïda Gómez,none,"Losers, La Reina del Pop","Equipos adicionales,  Reparto,  Producción","Festival de cine de Fuentes de Ebro, Festival de cine de Zaragoza"
Adriana Rivera,none,,Reparto,None
Iria Sáez,none,,Reparto,None
Fernando Rojo,none,"Cañas, La Reina del Pop",Reparto,None
Laura Contreras,none,"Future Shock, La novia",Reparto,"Conocido/a por, Más de esta persona"
Joey Herrera,none,What is Love?,Reparto,"Conocido/a por, Más de esta persona"
Lynn Miller Jr.,none,"""Docs Full Service"", Heart Full of Soul",Reparto,None
Reese Ravencraft,none,"""Dont Get Eaten"", Hi.","Reparto,  Guion","Sunny Side Up Film Festival, Milan Gold Awards"
Rashad Roberson,none,"Black Money, Respect 4 Life",Reparto,None
Thomas Barron Sampson,none,,Reparto,Austin Under The Stars Film Festival
Gabriel Díaz,none,,Reparto,None
Yolanda Lara,none,,Reparto,None
Ricardo Morfín,none,Squirrels and Watermelons,Reparto,None
Alex Costello,none,"BMW USA: Talkin Like Walken, Olive Juice",Reparto,None
Ryan Perea,none,,Reparto,None
Michael Johnston,none,,Reparto,None
Camryn Bentley,none,,Reparto,None
Sienna Cheryl Burton,none,"King Boyce: I Think I Fell in Love, Sweaty Larry",Reparto,None
Melissa Kunnap,none,"Black Lightning, DeadThirsty","Reparto,  Guion,  Dirección",None
Haley Leary,none,"Lethalogica, Spookt","Reparto,  Producción,  Guion","Another Hole in the Head Genre Film Festival, FilmQuest"
Quinn Reames,none,"Sweaty Larry, El Chévere",Reparto,None
Sean Paul Russell,none,,"Dirección,  Reparto,  Guion",None
Bryce Carson,none,Hello My Name is Friend-Man,"Reparto,  Efectos especiales",None
Nathan Kroeger,none,,Reparto,None
Mark Lowney,none,,Reparto,None
Hannah Burns,none,,Reparto,None
Rory Hough,none,"Underbelly Files: Chopper, White Rabbit",Reparto,None
Lynn Liong,none,"Faking It!, You Saved the Valley",Reparto,Vancouver Asian Film Festival
Sabrina Wu,none,Styx & Stones,Reparto,None
Tomi Sunmonu,none,House Party,Reparto,None
Boo Miller,none,"The Stand Up Sketch Show, Ten Dates",Reparto,"Underwire Film Festival, UK"
Gil Sidaway,none,"Halves of Three, O Amigo",Reparto,None
Ben Everett Riley,none,"Rest for the Wicked, 3 Men 1 Caravan","Reparto,  Equipos adicionales",None
Corrinne Wicks,none,"Doctors, Emmerdale","Reparto,  Casting,  Producción",Miami International Science Fiction Film Festival
Tom Butcher,1963,"And When Did You Last See Your Father?, Doctors",Reparto,None
Isabella Tainty,none,,Reparto,None
Dylan John,none,,Reparto,None
Juan Molina,none,"Edith, RX Pizza","Producción,  Dirección,  Guion",None
Knives Monroe,none,"Her Doppelgänger, Ingress","Dirección de fotografía y cámara,  Dirección,  Reparto",None
Jc Tovar,none,El Primer Beso,Reparto,None
Juan Tovar,none,,Reparto,None
Sebastian Tovar,none,,Reparto,None
Cory Eades,none,"Yellowstone, Espera hasta que se haga de noche","Reparto,  Equipos adicionales",None
Jaxson Hamilton,none,"The Face of Your Father, If I Could See the Stars","Reparto,  Especialistas",None
Marx Mitchell,none,"Audrey, Hopeless Romantic","Reparto,  Guion","Art is Alive Film Festival, Made in Arkansas Film Festival"
Abin Antony,none,"Prowl, Spades",Reparto,None
Gloria Bueno,none,,Reparto,None
Anitaka Knight,none,"To the Yonder Revisited, In the Realms of Madness",Reparto,None
Stevie Marceaux,none,Dear Kevin,"Reparto,  Equipos adicionales,  Producción",None
Claudia Sechi,none,Ellie Makes a Friend,Reparto,None
Zeke Bluestone,none,"Plotz, ATL Live","Dirección,  Reparto,  Guion",None
Brandon Olmstead,none,,"Reparto,  Guion,  Composición",None
Florence Jones,none,My Life with Face Blindness,Reparto,None
Annie Lees-Jones,none,"Augury, O.","Producción,  Reparto,  Dirección de la segunda unidad o asistencia a dirección",None
Maizilee Trevillion,none,,Reparto,None
Levi Jennings,none,,Reparto,None
Rebecca Miner,none,,Reparto,None
Noah Gallant,none,,"Reparto,  Guion,  Dirección",None
Shawna Adams,none,SandCastles,Reparto,None
Jay Nabb,none,"Holidazed, Liquor and Life","Reparto,  Equipos adicionales",None
Grady Eldridge,none,Bolognese,Reparto,None
Gray Fagan,none,,"Reparto,  Dirección,  Guion",None
Kayla Fast,none,Tender,"Reparto,  Producción",None
Jennifer Gouchoe,none,"""Fall 99"", Jim & Cheryl","Reparto,  Producción,  Guion",None
Rudy Marquez,none,"Mayans M.C., 9-1-1","Reparto,  Equipos adicionales,  Producción","Studio City Film Festival, US, Anatomy Crime and Horror Film Festival"
Bonnyjean Hoffert,none,"See You Next Tuesday, The Wedding",Reparto,None
Jake Kowalke,none,"""Discos Dead"", Sorry Charlie","Reparto,  Producción,  Guion",None
Zoe Arthur,none,"Sleeping with Demons, Burning Daylight Media Originals",Reparto,None
Conrad Belau,none,,Reparto,None
Connor Fedoroshyn,none,"High School, Sleeping with Demons",Reparto,None
Mamen Camacho,none,"Los Tortuga, Gran reserva",Reparto,Spanish Actors Union
Raquel Vicente,none,"Asunto Casting, Y un jamón",Reparto,None
Alejandro Martínez,none,,Reparto,None
Lilan Bowden,1985,"Parks and Recreation, Te vigilo","Reparto,  Dirección,  Guion",None
Rhett George,none,"Call Me Kat, Bootyology","Reparto,  Música",None
Bill Posley,none,"9-1-1, Bitch Ass","Reparto,  Guion,  Dirección","SXSW Film Festival, Writers Guild of America, USA"
Judith Shelton,none,"Janeane from Des Moines, Patti and Marina","Reparto,  Guion",None
Erica Bardin,none,"Natural Hazards, 2 Girls 1 Cop","Reparto,  Producción,  Guion","SeriesFest, Portugal International Film Festival"
Rachel Pfennigwerth,none,"Godless Children, The Haunting of Prince Dom Pedro",Reparto,None
Chad Bruns,none,"Force to Fear, Who Killed Jane Doe?","Reparto,  Guion,  Producción","Accolade Competition, The Indie Horror Film Festival, Chicago, US"
Darby Baublitz,none,I Swiped the Wrong One,"Reparto,  Equipos adicionales",None
Hunter Ventura,none,"I Swiped the Wrong One, The Slash",Reparto,None
Paul Anderson,none,"Talisman, Megatiburón contra mecatiburón","Reparto,  Guion","South Film and Arts Academy Festival, IndieX Film Festival"
Krystal Ellsworth,none,"Lethal Love Letter, Women Is Losers","Reparto,  Producción,  Especialistas","Independent Shorts Awards, Point Lookout Film Festival"
Rolan Meyer,none,"Fate vs. Elena, The Interns","Reparto,  Producción",None
Reshma Gajjar,1978,"Moon Manor, Adele: Oh My God",Reparto,None
Sunseray Morson,none,,"Reparto,  Producción,  Guion",None
Andrew Knox,none,"Chicago P.D., The Second City Presents: The Last Show Left on Earth",Reparto,"Best Shorts Competition, Independent Shorts Awards"
Emily Pendergast,1987,"Love, ""Were Doing Good""","Reparto,  Guion",None
Tim Baltz,1981,"Shrink, John Bronco","Reparto,  Guion,  Producción","Canadian Screen Awards, CA, IGN Summer Movie Awards"
Skyler Bible,none,"Grizzly Night, Dahmer - Monstruo: La historia de Jeffrey Dahmer","Reparto,  Especialistas,  Dirección",None
Christopher Matias Aguila,none,"Killing It, The Non-Essentials","Reparto,  Guion,  Producción","FilmOut San Diego, US, Alameda International Film Festival"
Michael HarPaz,none,"Chasing Shadows, Rikud Mesukan","Reparto,  Guion,  Composición",None
Bobbi Jene Smith,none,"Aviva, Broken Theater","Reparto,  Equipos adicionales,  Producción","Cinema Eye Honors Awards, US, Choreoscope International Dance Film Festival"
Or Schraiber,none,"Aviva, Bobbi Jene","Reparto,  Dirección,  Equipos adicionales","Fantaspoa International Fantastic Film Festival, First Hermetic International Film Festival"
