actor_name,birth_year,know_for,actor_role,actor_awards
Alpana Buch,none,"Madgaon Express, Luv Ni Love Storys",Reparto,"Indian Television Academy Awards, India, Indian Telly Awards"
Jia Vaidya,none,"Jayeshbhai Jordaar, ""Its Not That Simple""",Reparto,None
Princy Prajapati,none,,Reparto,None
Jay Alexander,none,"Narc Life, Ryan Cox is Deadpool","Reparto,  Dirección,  Edición",None
Chris Wick,none,"Jake & Jack, ""Runnin from Wolves""","Reparto,  Guion,  Dirección",None
Myra Symone Popova,none,Detroit Dreamers,Reparto,None
Derrick Jackson Jr.,none,"Papers 15: Dark Chapters Pt 1, ""Runnin from Wolves""","Reparto,  Dirección de fotografía y cámara,  Sonido",None
Dimitri Demarcus,none,"""Runnin from Wolves""","Reparto,  Sonido,  Dirección de fotografía y cámara",None
Ekaterina Vilkova,1984,"Black Lightning: Rayo Negro, Tri mushketera",Reparto,None
Tatyana Orlova,1956,"Zaveshchanie Lenina, Zhara",Reparto,APKIT Awards
Lyudmila Artemeva,1963,"Baryshnya-krestyanka, Yasnovidyashchaya",Reparto,Teletriumph
Vitaliy Khaev,1965,"Ragin, El rompehielos",Reparto,"Nika Awards, Russian Guild of Film Critics"
Ilya Lyubimov,1977,"Chelovek niotkuda, Chistoe iskusstvo",Reparto,None
Kudassanad Kanakam,none,Swargam,Reparto,None
Vava Suresh,none,,Reparto,None
Vijayaraghavan,1951,"Kammara Sambhavam, Venicile Vyapari","Reparto,  Música,  Banda sonora","Asianet Film Awards, Vanitha Film Awards"
Ma Dong-seok,1971,"Fuerza bruta, Ciudad sin ley","Reparto,  Producción,  Guion","Hawaii International Film Festival, Baek Sang Art Awards"
Jeong-eui Roh,2001,"Deo pon, Tamjung Hong Gil-dong: Sarajin ma-eul",Reparto,None
Jung Young-joo,1973,"Cazadores en tierra inhóspita, The Fiery Priest",Reparto,None
Lee Joon-young,1997,"Cazadores en tierra inhóspita, Jebal Geu Namja Mannaji Mayo","Reparto,  Banda sonora",Asia Artist Awards
Hao Feng,none,,Reparto,None
Willem Voogd,none,"Zwarte tulp, Project Orpheus","Reparto,  Dirección de la segunda unidad o asistencia a dirección",Cinekid
Bram Reurink,none,,Reparto,None
Anastasia Weinmar,none,,Reparto,None
Hadewych Minis,1977,"Borgman, Bloed, zweet & tranen","Reparto,  Banda sonora","Nederlands Film Festival, Rembrandt Awards"
