actor_name,birth_year,know_for,actor_role,actor_awards
Caroline Oakes,none,"Cat Skin, Death Warmed Up","Reparto,  Guion,  Dirección de fotografía y cámara",None
Harriet Brown,none,"The Call, The Faded","Reparto,  Dirección de fotografía y cámara",None
William Bundy,none,"Sun Kissed & Missed, The Call","Dirección,  Edición,  Producción",None
Charlotte Elizzabeth Langley,none,"Scorched Earth, Ladies of Leisure","Reparto,  Dirección,  Guion",None
Dhanya Sri,none,,Reparto,None
Justin Dupre,none,,Reparto,None
Max Klein,none,"The Sequence of an Adolescent Revenge, Revival","Reparto,  Producción,  Guion",Indie Short Fest
Madison McGovern,none,The Sequence of an Adolescent Revenge,Reparto,None
Amber Preston,none,"Wild for the Night, The Poacher",Reparto,None
Matt Villarreal,none,The Sequence of an Adolescent Revenge,Reparto,None
Alexey Erberg,none,"Demiurg, Triune","Producción,  Reparto,  Guion",Kalakari Film Fest
Valerie Huber,1996,"Klammer: Rozando el límite, Whiskey Cavalier",Reparto,"Romy Gala, Austria"
Morgan Peter Brown,none,"The Dungeon Run, American Crime Story","Reparto,  Producción,  Guion","Sonoma International Film Festival, Tabloid Witch Awards"
Gabrielle Maiden,none,"I Love Dick, The Electric State",Reparto,None
Minita Gandhi,none,"El justiciero, Brown Girls",Reparto,None
Tom DeTrinis,none,"Finding the Asshole: Chapter 3, ""Edgar Allan Poes Murder Mystery Dinner Party""","Reparto,  Guion,  Producción",None
Tiffany Elle,none,"Personal Assistant, All the Creatures Were Stirring","Reparto,  Equipos adicionales,  Maquillaje",None
Cindy Zhang,none,Screening Room,Reparto,None
Anina Net,none,"KG145, The Legend of the White Wolf",Reparto,None
Kopyrh Snyder-Shane,none,,Reparto,None
George Mason,none,"Dirt Music, Daffodils",Reparto,"CinEuphoria Awards, Gold Derby Awards"
Phoenix Connolly,none,"Daffodils, Tratamiento real",Reparto,None
Sumitra Sahu,none,"Mahu Deewana Tahu Deewani, Nava Bihan",Reparto,None
Rajesh Bonik,none,"Mumbaiyya: The Daring Mumbaikar!, Saaya the Mystry",Reparto,None
Alonso Ballesteros,none,,Reparto,None
Val Dorantes,none,"S.W.A.T.: Los hombres de Harrelson, Ella Camina Sola",Reparto,None
Maureen Casey,none,"The Bat Faced Boy, Missing, Presumed",Reparto,None
Ilaria Rosselli del Turco,none,,Reparto,None
Ella Dorman-Gajic,none,"The Boy with a Camera for a Face, Tearaway","Reparto,  Guion,  Producción",None
Gabriel Fogarty-Graveson,none,"Back of the Net, Bugbear",Reparto,None
Tom Goodman-Hill,1968,"The Imitation Game, Mi reno de peluche","Reparto,  Producción,  Guion",None
Virginia Shannon,none,"Dragged Off, Hoods",Reparto,None
Charlotte Raith,none,"Pinewood, The Seed of Truth",Reparto,None
Dove Meir,none,"NCIS: Los Ángeles, Dig",Reparto,Burbank International Film Festival
Jordan Liebowitz,none,"Hit & Run, The Barry & Ro Show","Reparto,  Cámara y electricidad,  Dirección","Manhattan Film Festival, Pasadena International Film Festival, US"
Jenna Reilly,none,"Bad Sass, Post-War","Reparto,  Guion,  Dirección",None
Flynn Chandra,none,,Reparto,None
Yan Lin,none,,Reparto,Show Me Shorts Film Festival
Mary Wu,none,,Reparto,None
Gail Bean,none,"Snowfall, Unexpected","Reparto,  Producción,  Guion","Image Awards (NAACP), Black Reel Awards for Television"
Amos Blackmon,none,"Demascus, The Rookie",Reparto,None
Chris De La Cruz,none,,"Reparto,  Guion",None
Melvin Diggs,none,"9-1-1, Magnum",Reparto,None
Blake Edwards,none,32,"Reparto,  Equipos adicionales",None
Chelsea Mathieu,none,,Reparto,None
Feden Kidane,none,"A Tribe Called Love, All I Need",Reparto,AltFF Alternative Film Festival
Lynn Oldershaw,none,"All I Need, Promotion","Equipos adicionales,  Dirección de producción,  Reparto",None
Rhys Harrison,none,,Reparto,None
Stefen Rollpiller,none,"Damaged Goods, The Cellar","Reparto,  Arte,  Composición",None
