actor_name,birth_year,known_for,actor_role,actor_awards
Woody Harrelson,1961,"El escándalo de Larry Flynt, Asesinos natos","Reparto,  Producción,  Dirección","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Kelly Macdonald,1976,"Gosford Park, Brave","Reparto,  Banda sonora","Annie Awards, Berlin International Film Festival"
Jeremy Renner,1971,"The Town: Ciudad de ladrones, Wind River","Reparto,  Producción,  Sonido","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Anthony Mackie,1978,"Destino oculto, Capitán América: El Soldado de Invierno","Reparto,  Producción,  Dirección","Academy of Science Fiction, Fantasy & Horror Films, USA, BET Awards"
Brian Geraghty,1901,"Bobby, El vuelo","Reparto,  Producción,  Banda sonora","Gotham Awards, Hollywood Film Awards"
Guy Pearce,1967,"L.A. Confidential, El cazador","Reparto,  Dirección,  Producción","Academy of Science Fiction, Fantasy & Horror Films, USA, Film Critics Circle of Australia Awards"
Ralph Fiennes,1962,"El gran hotel Budapest, La lista de Schindler","Reparto,  Dirección,  Producción","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Dev Patel,1990,"Lion, Monkey Man","Reparto,  Producción,  Dirección","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Saurabh Shukla,1963,"Jolly LLB, PK","Reparto,  Guion,  Dirección","Awards of the International Indian Film Academy, Zee Cine Awards"
Anil Kapoor,1956,"Animal, Race 3","Reparto,  Producción,  Música","Filmfare Awards, Awards of the International Indian Film Academy"
Raj Zutshi,1961,"Lakshya, Lagaan: Érase una vez en la India","Reparto,  Equipos adicionales",Indian Telly Awards
Jeneva Talwar,1901,"El gurú del sexo, Outsourced",Reparto,None
Ben Affleck,1972,"Perdida, The Town: Ciudad de ladrones","Producción,  Reparto,  Guion","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Bryan Cranston,1956,"Malcolm, Argo","Reparto,  Producción,  Guion","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Alan Arkin,1934,"Pequeña Miss Sunshine, Glengarry Glen Ross: Éxito a cualquier precio","Reparto,  Dirección,  Guion","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
