actor_name,birth_year,known_for,actor_role,actor_awards
Elaine Aikens,none,"FanGirl, Kill Em with A Smile",Reparto,None
Ismail Al-Muid,none,Suga Babies,Reparto,None
Charity Lovely Badazz Alston,none,"Kill Em with A Smile, Too Little Too Late",Reparto,None
Bee Badd,none,"Toxic Alien Zombie Babes from Outer Space, L Island","Reparto,  Equipos adicionales,  Producción",None
Felipe Blue,none,"Sneaky Links, Have You Seen My Man?","Guion,  Producción,  Dirección",None
Nabil Aoulad Ayad,none,"Deadline, Onderweg naar morgen",Reparto,None
Jim Bakkum,1987,"Idols, Fashion Planet","Reparto,  Banda sonora",None
Mingus Dagelet,none,"Vrijland, Flikken Maastricht",Reparto,None
Tara Hetharia,none,"Mijn vader is een detective: The Battle, Mijn vader is een detective: De wet van 3",Reparto,London Web Fest
Nadja Hüpscher,1972,"Dennis P., Levenslied","Reparto,  Guion,  Dirección de la segunda unidad o asistencia a dirección","Berlin International Film Festival, Nederlands Film Festival"
Uncle Frankie,none,,Reparto,None
Anya Chipovskaya,1987,"Blokbaster, Vychislitel","Reparto,  Banda sonora","Golden Eagle Awards, Russia, Russian National Movie Awards"
Vladimir Yaglych,none,"Rescate suicida, Strannyy dom",Reparto,None
Kseniya Lukyanchikova,none,"Gorod tayn, Ya podaryu tebe rassvet",Reparto,None
Yuliya Dzutseva,none,"Ves etot dzhem, Gogol. Nachalo",Reparto,None
Evgeniya Shakhnovich,none,"Tsifrovoy kod, Kvest",Reparto,None
Samantha Smith,1993,"Bienvenido a casa Roscoe Jenkins, Dando la nota - Aún más alto",Reparto,None
Whitney LaBelle Davis,none,"One More Dream, OnlySounds","Reparto,  Producción",None
Trevon Pope,none,"The Plantation, Chances",Reparto,None
Dewey Allen,none,"My Side Piece, Blues for Life","Producción,  Dirección,  Guion",None
Jacob Tremblay,2006,"Wonder, Somnia: Dentro de tus sueños","Reparto,  Banda sonora","Academy of Science Fiction, Fantasy & Horror Films, USA, Critics Choice Awards"
Paul Walter Hauser,1986,"Richard Jewell, Encerrado con el diablo","Reparto,  Producción,  Guion","Critics Choice Awards, Primetime Emmy Awards"
Colin Hanks,1977,"Orange County, Rastro oculto","Reparto,  Dirección,  Producción","Primetime Emmy Awards, Golden Globes, USA"
Mia Akemi Brown,none,,Reparto,None
