id_imdb,type,name,release_year,release_month,genre
tt31852754,Movie,The Last Passage,2024,1,Drama
tt31860731,Movie,Ma face cachée,2024,6,Drama
tt31861434,Movie,Jyukinshi,2024,3,Drama
tt31861943,Movie,The Jump,2024,2,Drama
tt31862104,Movie,Tirik yetim qizaloq,2024,3,Drama
tt31862097,Movie,Blooming Sisters,2024,3,Drama
tt31863174,Movie,Bana Beni Anlat,2024,3,Drama
tt31863593,Movie,Era como um Filme,2024,3,Drama
tt31866489,Movie,Pássaro Azul,2024,3,Drama
tt31867120,Movie,Broken Redemption,2024,11,Drama
tt31867591,Movie,Space & Time,2024,4,Drama
tt31868567,Movie,A Mother's Hope,2024,6,Drama
tt31869446,Movie,Vishesham,2024,4,Drama
tt31869664,Movie,Baki Hanma kontra Kengan Ashura,2024,6,Drama
tt31869366,Movie,Shigatsu ni nareba kanojo wa,2024,3,Drama
tt31869928,Movie,Velhi Janta,2024,3,Drama
tt31883260,Movie,Last Party in R. Desert!,2024,5,Drama
tt31883489,Movie,Warning,2024,3,Drama
tt31888121,Movie,Kek 2,2024,5,Drama
tt31888859,Movie,Urmisha,2024,4,Drama
tt31898764,Movie,Gauri Shankar ki Prem Kahani,2024,,Drama
tt31899561,Movie,Malanova,2024,4,Drama
tt31905541,Movie,Journal de la sentinelle,2024,4,Drama
tt31908484,Movie,Filo Hua Hum,2024,1,Drama
tt31909250,Movie,Crab in A Bucket,2024,none,Drama
tt31909494,Movie,A Threnody (One of Many...),2024,none,Drama
tt31911794,Movie,Insaniyat,2024,3,Drama
tt31912843,Movie,Stag,2024,4,Drama
tt31913143,Movie,Green Card,2024,4,Drama
tt31913644,Movie,The girl in cheongsam,2024,,Drama
tt31913201,Movie,Homecoming,2024,3,Drama
tt31913927,Movie,Baryali,2024,3,Drama
tt31918070,Movie,Dilemma,2024,6,Drama
tt31918283,Movie,Qagayilar,2024,3,Drama
tt31918560,Movie,Di Ren Jie Zhi Tong Tian Xuan An,2024,2,Drama
tt31923094,Movie,Tyrant: Like Father Like Son,2024,3,Drama
tt31924248,Movie,Una Vida En El Olvido,2024,1,Drama
tt31925345,Movie,Hatekhori,2024,3,Drama
tt31937670,Movie,Grizzly City Boy,2024,5,Drama
tt31937861,Movie,Triggers,2024,6,Drama
tt31938105,Movie,The Bad Guardian,2024,5,Drama
tt31939390,Movie,Alanaati Ramachandrudu,2024,none,Drama
tt31939497,Movie,Woh Bhi Din The,2024,3,Drama
tt31940224,Movie,The Midsummer's Voice,2024,7,Drama
tt31940684,Movie,Peyis. Jumaq ananiñ tabaniniñ astinda,2024,3,Drama
tt31945295,Movie,Qingtan,2024,3,Drama
tt31945966,Movie,A Girl Named Ann,2024,6,Drama
tt31947055,Movie,The Stonehearts,2024,4,Drama
tt31947604,Movie,Amelia,2024,3,Drama
tt31947652,Movie,Drama Queen,2024,3,Drama
tt31144085,Short,Curtains,2024,2,Drama
tt31144509,Short,NYC Triptych Pt. 1,2024,2,Drama
tt31144782,Short,It's All Greek to Me,2024,none,Drama
tt31144860,Short,Lovin' Her,2024,6,Drama
tt31145316,Short,Two Cents & A Footlong,2024,2,Drama
tt31145671,Short,Servant,2024,1,Drama
tt31146132,Short,The Creep,2024,2,Drama
tt31146398,Short,After We Ran,2024,,Drama
tt31146425,Short,Projet 2036,2024,3,Drama
tt31146433,Short,Vor mir die See,2024,3,Drama
tt31146426,Short,Même les anges ont le coeur brûlé,2024,2,Drama
tt31149402,Short,Fuga de Kairós,2024,1,Drama
tt31149409,Short,Masha will be 20 soon,2024,6,Drama
tt31149476,Short,Tout d'un songe,2024,2,Drama
tt31149568,Short,Emily Emily Emily,2024,1,Drama
tt31150017,Short,Shadows of Deceit,2024,2,Drama
tt31150137,Short,"Signed, GenRift",2024,none,Drama
tt31150123,Short,Butcher,2024,none,Drama
tt31150178,Short,Please Send Help,2024,none,Drama
tt31150230,Short,Aletheia,2024,4,Drama
tt31150485,Short,Barakah,2024,none,Drama
tt31150514,Short,Let's Stay Together,2024,4,Drama
tt31150712,Short,Living A Lie,2024,2,Drama
tt31145184,Short,White Oxygen,2024,2,Drama
tt31149597,Short,Paradox,2024,1,Drama
tt31146537,Short,Cordial,2024,,Drama
tt31150668,Short,Take Your Medicine,2024,8,Drama
tt31150799,Short,Bloodroot,2024,none,Drama
tt31151607,Short,Yeah the Boys,2024,1,Drama
tt31152050,Short,A home is not a house,2024,none,Drama
tt31152214,Short,Walk. Rachmaninoff. Nose,2024,1,Drama
tt31156576,Short,A Dying Man's Remorse,2024,1,Drama
tt31156951,Short,The Feeling of Light,2024,,Drama
tt31157190,Short,Alastor,2024,4,Drama
tt31157810,Short,Downward Spiral,2024,,Drama
tt31157995,Short,Camille's Story,2024,2,Drama
tt31158011,Short,Handsome Hank,2024,1,Drama
tt31152312,Short,Necze's Prison,2024,2,Drama
tt31156846,Short,The Moment,2024,1,Drama
tt31157722,Short,Bad Choices,2024,1,Drama
tt31158269,Short,A Garden for Rose,2024,none,Drama
tt31157943,Short,The Last Trip,2024,none,Drama
tt31158003,Short,The Roadhouse Blues,2024,none,Drama
tt31158378,Short,Ex Mop,2024,4,Drama
tt31158801,Short,Clean Slate,2024,2,Drama
tt31158791,Short,29 Days Sober,2024,1,Drama
tt31159117,Short,Bus Stops,2024,none,Drama
tt31159537,Short,Sage,2024,3,Drama
tt31159709,Short,A World Without Prospero,2024,5,Drama
tt31160041,Short,Back to reality,2024,2,Drama
