id_imdb,type,name,release_year,release_month,genre
tt32023078,Movie,Possession: Kerasukan,2024,5,Drama
tt32023291,Movie,Main Ladega,2024,4,Drama
tt32023769,Movie,3 Karod 24 Khallak 1 Sawaal,2024,3,Drama
tt32026356,Movie,And God Made Man,2024,8,Drama
tt32027870,Movie,Better Than Revenge,2024,8,Drama
tt32029105,Movie,Dream on Dreamer 2: The Climax,2024,8,Drama
tt32029210,Movie,Dream on Dreamer,2024,8,Drama
tt32035255,Movie,Broken Trust,2024,4,Drama
tt32035415,Movie,The Chiseler,2024,3,Drama
tt32045199,Movie,The Remedy for a Broken Heart,2024,4,Drama
tt32045279,Movie,Vidyarthi Vidyarthiniyare,2024,none,Drama
tt32046090,Movie,Réconciliation - Dans les pas des Cathares,2024,4,Drama
tt32046399,Movie,Smotri na menya,2024,9,Drama
tt32047707,Movie,Så länge hjärtat slår,2024,9,Drama
tt32050758,Movie,Meninas Não Choram,2024,4,Drama
tt32055377,Movie,A Woman's Plight,2024,4,Drama
tt32055878,Movie,As Close to Me As Always,2024,6,Drama
tt32056058,Movie,Die Ying Jiu Shu,2024,4,Drama
tt32056075,Movie,In Iove with my class teacher,2024,3,Drama
tt32056778,Movie,Between the Lies,2024,1,Drama
tt32058413,Movie,Prishelets,2024,4,Drama
tt32045603,Movie,Ayni Ipte Asili,2024,,Drama
tt32058871,Movie,Dewalo,2024,4,Drama
tt32058988,Movie,Mo Papa,2024,,Drama
tt32058992,Movie,Animali Randagi,2024,2,Drama
tt32059821,Movie,Vo sne ty gorko plakal,2024,none,Drama
tt32060363,Movie,Pyar Ke Do Naam,2024,5,Drama
tt32062709,Movie,Fim de Semana,2024,,Drama
tt32062965,Movie,Happiness Railway,2024,4,Drama
tt32063182,Movie,Comatogen,2024,9,Drama
tt32063721,Movie,Blackwoods,2024,3,Drama
tt32064202,Movie,Papa Ki Pari,2024,4,Drama
tt32065560,Movie,Adjunct,2024,6,Drama
tt32066710,Movie,Isang gabi,2024,5,Drama
tt32066730,Movie,A Woman's Plight,2024,4,Drama
tt32080771,Movie,Kung Fu,2024,none,Drama
tt32081983,Movie,Forgive Me My Child,2024,4,Drama
tt32082245,Movie,Once Passed On,2024,3,Drama
tt32082847,Movie,Entre Actores,2024,11,Drama
tt32083311,Movie,On Becoming a Guinea Fowl,2024,5,Drama
tt32083642,Movie,As I Am (Director's Cut),2024,,Drama
tt32085310,Movie,Open Marriage (Igbeyawo Asiko),2024,3,Drama
tt32085401,Movie,Ninety Minutes Later,2024,6,Drama
tt32085996,Movie,Koi wo Shiranai Bokutachi wa,2024,8,Drama
tt32086004,Movie,Rendez-vous avec Pol Pot,2024,6,Drama
tt32086032,Movie,The Kingdom,2024,11,Drama
tt32085997,Movie,Miséricorde,2024,5,Drama
tt32086034,Movie,Holy Cow,2024,1,Drama
tt32086046,Movie,The Story of Souleymane,2024,10,Drama
tt32086077,Movie,All We Imagine as Light,2024,10,Drama
tt31187440,Short,Jordskred,2024,3,Drama
tt31187561,Short,Newspapers,2024,,Drama
tt31187805,Short,Pastor's Kid,2024,,Drama
tt31187803,Short,M jako Máma,2024,1,Drama
tt31188186,Short,The Red Sash,2024,,Drama
tt31189824,Short,Notre père,2024,2,Drama
tt31189859,Short,Glücksbringer - A Lucky Charm,2024,none,Drama
tt31190038,Short,Sole,2024,2,Drama
tt31190121,Short,Neighbors,2024,8,Drama
tt31190513,Short,Kasta Sten,2024,none,Drama
tt31193339,Short,Sombras de Nós Próprios,2024,,Drama
tt31193349,Short,That Also Breathes,2024,11,Drama
tt31194262,Short,Closure,2024,2,Drama
tt31194560,Short,Stay a Little Longer This Time,2024,1,Drama
tt31194643,Short,Your Dream,2024,1,Drama
tt31194698,Short,Wilson's Legacy,2024,1,Drama
tt31194862,Short,Blues for Herold,2024,4,Drama
tt31204083,Short,Old Nick,2024,2,Drama
tt31214477,Short,Marry Mary,2024,none,Drama
tt31215188,Short,Hot Flash,2024,2,Drama
tt31215378,Short,Gli ultimi giorni di pioggia,2024,2,Drama
tt31215413,Short,Je Jibon Tomar Amar,2024,1,Drama
tt31216063,Short,Peace Train,2024,2,Drama
tt31219564,Short,Sisters,2024,2,Drama
tt31227107,Short,Cared,2024,2,Drama
tt31227261,Short,Black Bourgeoisie,2024,2,Drama
tt31227330,Short,Spark Plug,2024,2,Drama
tt31235965,Short,Return,2024,none,Drama
tt31236086,Short,The Complaint,2024,4,Drama
tt31236117,Short,Ballad of Blues,2024,1,Drama
tt31236167,Short,"Good Night, Sunshine",2024,2,Drama
tt31240170,Short,Eleven,2024,none,Drama
tt31241022,Short,Behropiya,2024,2,Drama
tt31243108,Short,The Fobbits,2024,6,Drama
tt31243946,Short,Circles,2024,2,Drama
tt31249327,Short,Constellation,2024,1,Drama
tt31249310,Short,To the Light,2024,,Drama
tt31249875,Short,Mixed Emotions,2024,1,Drama
tt31250918,Short,The New Cardinal,2024,2,Drama
tt31252259,Short,Red Velvet,2024,4,Drama
tt31259616,Short,Last Voice for Lost Light,2024,1,Drama
tt31260825,Short,Blinded,2024,3,Drama
tt31250506,Short,Efecto Morgana,2024,2,Drama
tt31259818,Short,Como Te Extraño,2024,11,Drama
tt31261085,Short,Páginas para Mônica,2024,2,Drama
tt31261182,Short,Our Last Notice,2024,2,Drama
tt31261192,Short,Matter,2024,2,Drama
tt31261537,Short,"The Stranger, the Lover, the Setting Sun",2024,,Drama
tt31262158,Short,Where Shall We Start,2024,7,Drama
tt31262657,Short,Llet,2024,none,Drama
