id_imdb,score_imdb,score_rt,director_imdb,screenriters_imdb,plot_rt,duration_imdb,title_imdb
tt31630664,none,100,Simon Rose Thaysen,Mikkel Viese Alberg,"Headstrong Thomas Dunson (John Wayne) starts a thriving Texas cattle ranch with the help of his faithful trail hand, Groot (Walter Brennan), and his protégé, Matt Garth (Montgomery Clift), an orphan Dunson took under his wing when Matt was a boy. In need of money following the Civil War, Dunson and Matt lead a cattle drive to Missouri, where they will get a better price than locally, but the crotchety older man and his willful young partner begin to butt heads on the exhausting journey.",none,Red River
tt31631682,none,none,Timothy Turner,Roane Borger,none,15,Blanket Man: Legacy
tt31703380,none,42,Peter Choi,Peter Choi,"When four teenage friends go on a camping trip during spring break, an unfortunate accident sets off a race against time to save one's most prized possession.",none,The Package
tt31704623,none,none,Florence Fauquet,Florence Fauquet,none,none,Karateka
tt31704656,none,none,Tony Cole,Tony Cole,none,none,Nelson Harlow: Work of a Nation
tt31704752,none,none,none,none,none,33,George Whitebrooke: Survival of the Fittest
tt31709095,none,75,Matthew Stephen Smith,Matthew Stephen Smith,"Little Sang-woo (Yoo Seung-ho) doesn't want to leave Seoul, South Korea, to live with his mute grandmother (Kim Eul-boon) in the countryside, but his mother (Dong Hyo-heui) compels him, as she needs to look for a new job. Fractious and ill-mannered, Sang-woo variously ignores and taunts his grandmother with insulting epithets. When she won't buy batteries for his toy, he even steals from her. But over time, and in the face of her unquestioning love, he comes to admire and respect her.",none,The Way Home
tt31710545,none,none,Devan Shulman,Devan Shulman,none,14,"Don't Shoot, G-Man!"
tt31326105,none,none,none,none,none,2,A Streamers Promise
tt31711230,none,95,Carson Bolt,Carson Bolt,"A disparate group of individuals takes refuge in an abandoned house when corpses begin to leave the graveyard in search of fresh human bodies to devour. The pragmatic Ben (Duane Jones) does his best to control the situation, but when the reanimated bodies surround the house, the other survivors begin to panic. As any semblance of order within the group begins to dissipate, the zombies start to find ways inside -- and one by one, the living humans become the prey of the deceased ones.",none,Night of the Living Dead
tt31712621,none,none,Red Herzog,Red Herzog,none,8,The Payout 2024
tt31726942,none,none,Patrick Deal,Angel Sims,none,0,Lake of Lies
tt31789254,none,none,Dneail,Dneail,none,10,Galaxies Beyond
tt31797440,none,none,Billy Tsiolis,Billy Tsiolis,A burgeoning 13-year-old (Elisabeth Rosen) begins having an affair with her alcoholic mother's (Lenore Zann) live-in boyfriend.,6,Babyface
tt31805176,"7,6",none,Hunter Williams,Hunter Willaims,none,29,Chase Banks: The Return of Chase Banks
tt31805769,none,none,Tairel Hayes,Tairel Hayes,A home invader takes a wealthy family hostage and tortures the head of the household by making him watch as his loved ones are harmed.,none,Gunpoint
tt31829160,none,none,Trevor Seech-Hrvatin,Trevor Seech-Hrvatin,none,none,Raymond Vs. The Mormons
tt31830826,none,none,Daniel M. Caneiro,Jorge Hinojosa,,18,Insurrección
tt31830978,none,none,Angus Rundell,Angus Rundell,none,11,Defcon
