id_imdb,score_imdb,score_rt,director_imdb,screenwriters_imdb,plot_rt,duration_imdb,title_imdb
tt30956063,none,none,Jodi Ferguson,Ryan Kenton,none,none,Coffee Connection
tt30956350,none,6,Hamad Abu Hassan,Fatima AlHussaini,A girl unwittingly releases a malicious demon that haunted her mother and aunt years earlier.,4,Behind You
tt30956964,none,83,none,none,"Two 17th-century Portuguese missionaries, Father Sebastian Rodrigues (Andrew Garfield) and Father Francisco Garupe (Adam Driver), embark on a perilous journey to Japan to find their missing mentor (Liam Neeson). While there, the two men minister to the Christian villagers who worship in secret. If caught by feudal lords or ruling samurai, they must renounce their faith or face a prolonged and agonizing death.",1,SIlence
tt30958954,none,none,Evan Dawson,Evan Dawson,none,8,Change of Hands
tt30968660,"7,3",none,Arnaud Dufeys,Nicolas Moulin,none,19,Un invincible été
tt30970383,none,none,Danaë Jonas,Danaë Jonas,none,none,Brother Husbands
tt30970585,"6,6",none,Leinad Pájaro de la Hoz,Fabián Suarez,none,20,Un pájaro voló
tt30970709,none,none,Saurav Ghimire,Saurav Ghimire,none,17,Songs of Love and Hate
tt30970846,"7,7",none,Lam Can-zhao,Lam Can-zhao,none,15,"Sommer, Ende"
tt30970775,none,none,none,none,none,16,Kayla Baby
tt30970908,none,none,Mariana Gil Ríos,Mariana Gil Ríos,none,17,Uli
tt30971392,none,none,Arthur Sukiasyan,Arthur Sukiasyan,none,20,Lumen Naturae
tt30971465,none,none,Robert Bogert,Robert Bogert,none,10,Thief of Memories
tt30971748,none,none,Xueqing Yin,Xueqing Yin,none,16,My Mom's Best Friend
tt30972084,none,23,George Lott,George Lott,"Following a lengthy tour of duty in Iraq, three soldiers find that readjusting to life at home is not as easy as they originally thought. One (Samuel L. Jackson), a doctor, has an especially hard time as he watches his life unravel despite his attempts to restore his practice and marriage.",none,Home of the Brave
tt30972049,none,none,George Lott,George Lott,none,none,Loyal to the Core
tt30972355,none,none,Alberto Ornelas,Alberto Ornelas,none,none,Broken
tt30973498,"7,4",none,Simone Polito,Simone Polito,none,20,La brava gente
tt30973626,none,none,Brandon Rozo,Brandon Rozo,none,5,A Murder Rings Hollow
tt30973816,none,none,none,none,none,none,Bitter
tt30974160,none,none,Tatiana Alex,Tatiana Alex,none,22,The Polishing
tt30975097,"8,0",none,Carter J Clarke,Toni Mae Ball,none,15,Bracia
tt30980440,none,96,Joe Willis,none,"STRAY explores what it means to live as a being without status or security, following three strays as they embark on inconspicuous journeys through Turkish society. Zeytin, fiercely independent, embarks on adventures through the city at night; Nazar, nurturing and protective, easily befriends the humans around her; while Kartal, a shy puppy living on the outskirts of a construction site, finds companions in the security guards who care for her. The strays' disparate lives intersect when they each form intimate bonds with a group of young Syrians with whom they share the streets. Director Elizabeth Lo's award-winning film is a critical observation of human civilization through the unfamiliar gaze of dogs and a sensory voyage into new ways of seeing.",none,Stray
tt30980485,none,none,Michael C. McCourt,Michael C. McCourt,,15,Ripple
tt30982319,none,none,Shivashish Ahuja,Dhar Mann,none,none,Girl Can't Say No to Her Friends
tt30982331,none,none,Pilar Campuzano,Pilar Campuzano,none,7,Los últimos 5 minutos
tt30983145,none,none,none,none,none,39,Laal Papita
