id_imdb,score_imdb,score_rt,director_imdb,screenriters_imdb,plot_rt,duration_imdb,title_imdb
tt17062072,none,none,Jose Franco,Jose Franco,"After starting work at the mysterious Beckinsale Library, the brutal murder of young English student Claire draws Lucy into a dangerous battle.",none,The Library
tt18335394,none,none,none,none,"A crew working the Earth-Mars shipping route has to change course after a ship malfunction. When the ship lands on the remote asteroid colony Somnus, the colony is inhabited by a mysterious and sinister cult.",none,Somnus
tt18388426,none,none,none,none,none,none,Two Questions and a Wish
tt20193284,none,none,none,none,none,none,The LGBTQ+ Films: Q
tt20195530,none,none,Danny Thykær,Albert Bendix,none,none,The LGBTQ+ Films: G
tt20205174,none,none,Gerald Lepkowski,Gerald Lepkowski,none,none,Broono
tt25815664,none,none,none,none,none,none,none
tt25864596,none,none,none,none,none,14,Dobrodosli doma
tt26007064,none,none,Jeremy Shinder,Jeremy Shinder,none,none,Theo's Tears
tt26237980,none,none,John-Paul Casella,John-Paul Casella,none,33,Bugbear III
tt26438463,none,none,none,none,none,none,none
tt26447077,none,none,none,none,none,none,none
tt26690186,none,none,none,none,none,none,none
tt26730332,none,none,Fredrik Rönnqvist,Fredrik Rönnqvist,none,none,Utväg
tt27042672,none,none,none,none,none,none,"Forever, My Lover"
tt27042832,none,none,Cru Alexander Timi,Cru Alexander Timi,none,none,Orchidaceae 2023
tt27052374,none,none,Fitch Jean,Fitch Jean,none,none,As I Lay Still
tt27054641,none,none,Zhao Lin,Yang Shunliang,none,28,Every Bus with Your Lover
tt27166037,none,none,Robert Mulolo,Robert Mulolo,none,7,The Ideal Couple
tt27230754,none,none,none,none,A hotel security guard becomes a suspect when he inadvertently helps a woman steal a diamond necklace.,none,Night Class
tt27385097,none,94,Jimmy Ming Shum,Pia Cook,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",23,Talk to Me
tt27416830,none,none,Danny Thykær,Martin Christophersen,none,13,Det er aldrig for sent
tt27419235,none,none,Fabio Stecher,Daniel Reich,none,20,A Revair
tt27437414,"9,9",none,Amit Mathur,Amit Mathur,none,none,C-Grade Waala
tt27470510,none,16,Salil Jason Fernandez,Salil Jason Fernandez,"Abandoned follows the sharply intense lives of Sara (Emma Roberts), her husband Alex (John Gallagher Jr.), and their infant son as they move into a remote farmhouse, which harbors a dark, tragic history. As their home's past is revealed, the mother's fragility escalates to a state of psychosis that jeopardizes her own safety and that of her newborn son.",2,Abandoned
tt27491989,none,none,Kyle Durack,Kyle Durack,none,7,CP Enforcer
tt27521773,none,64,Dustin Chitty,Mason Aksamit,"Since his mother's confinement to an institution, a man has lived in the shadow of his stoic father. A family acquaintance employs the introverted young man as a photographer to document an asylum tour advocating for his lobotomy procedure.",none,The Mountain
tt27552115,none,none,Victor Abreu,Victor Abreu,none,none,O Que Vi
tt27634156,none,none,Louise Lohmann Christensen,Louise Lohmann Christensen,none,14,Beautiful Strangers
tt27640332,none,none,Margaret Seid,Justin Secor,"Convinced her husband is cheating from his murmurs during sleep, a woman is pushed over the edge.",none,House of Glass
tt27672549,none,none,Charlie G,Charlie G,none,18,Change Me
tt27678980,none,none,Aulio Ivan,Aulio Ivan,,none,The Last Call
tt27686457,none,none,Luciana Moreno Mora,Luciana Moreno Mora,none,13,Siento Vértigo
tt27707363,none,none,Fabian Flécheux,Fabian Flécheux,none,none,Condamné
tt27715201,none,none,Vladislav Motorichev,Vladislav Motorichev,none,none,Save the Orchid
tt27733746,none,none,Nicholas Bompart,Nicholas Bompart,"Beautiful but tormented, Toni Jo Henry (Jaime King) gains notoriety while standing trial for murder in 1940s Louisiana.",15,The Pardon
tt27747495,none,none,Chaoqun Wang,Chaoqun Wang,none,12,La Jouissance
tt27774128,none,none,none,none,none,14,Reunirse
tt27786652,none,none,none,none,none,8,Hatirlama
tt27791283,"10,0",none,Mazen Haj Kassem,Mazen Haj Kassem,none,18,Two Tickets
tt27795362,none,none,Suraj Gunjal,Prem Singh,none,23,Naam (Identity)
tt27803276,none,none,Hadrien Langue,Hadrien Langue,none,none,Soliloque
tt27827381,none,92,Harvey S Davidson,Harvey S Davidson,An aspiring musician (Domhnall Gleeson) finds himself way out of his element after he joins a pop group led by an enigmatic figure (Michael Fassbender) who wears a giant fake head.,12,Frank
tt27832399,none,none,Ryan Edwards,Toni Mae Ball,"Victoria, a sophisticated young woman, is trying to find happiness with a good man in the midst of drugs and violence in the mean streets of KC.",15,It Is What It Is
tt27833184,none,75,Ishan Parikh,Ishan Parikh,A sound engineer (Émilie Dequenne) uncovers strange traces of past conversations on her tape machines as she investigates the murder of her clairvoyant mother.,18,Fissures
tt27844158,none,none,none,none,none,none,none
tt27852684,none,none,David Leon,David Leon,none,16,Stable
