,type,name,release_year,release_month,id_imdb,genre
0,Movie,Víboras de Oropel,2022,,tt16604920,Action
1,Movie,Ksatria,2022,3,tt9009056,Action
2,Movie,Family First,2022,1,tt15830650,Action
3,Movie,Harlee's Roses,2022,,tt9486682,Action
4,Movie,Samhalinchha Kahile Mann,2022,,tt9871454,Action
5,Movie,Bullet Train Down,2022,7,tt16605106,Action
6,Movie,Je Suis Auto,2022,,tt8476156,Action
7,Movie,Major,2022,7,tt9851854,Action
8,Movie,Rocket Hunter: Rise of the Nazi Komet,2022,1,tt15743386,Action
9,Movie,Reign of Chaos,2022,4,tt7909204,Action
10,Movie,Doda,2022,9,tt16234322,Action
11,Movie,Neel Doriyar Majhi,2022,none,tt16912422,Action
12,Movie,Gangs of 18,2022,,tt16965118,Action
13,Movie,Jack Stone: The Queen's Man,2022,12,tt16995982,Action
14,Movie,Blake's Movie,2022,1,tt16977538,Action
15,Movie,The Assistant,2022,5,tt16997558,Action
16,Movie,Pinpoint,2022,4,tt17043084,Action
17,Movie,Ahimsa,2022,9,tt17057430,Action
18,Movie,Switch,2022,1,tt17060958,Action
19,Movie,Bholaa,2022,11,tt17066108,Action
20,Movie,Missing Persons,2022,11,tt17069416,Action
21,Movie,Spider-Man: Power and Responsibility,2022,1,tt17080442,Action
22,Movie,Checkmate: The Game Never Ends,2022,6,tt17163030,Action
23,Movie,Sher Shivraj,2022,4,tt17274522,Action
24,Movie,The Exterminator: Retribution,2022,5,tt17318444,Action
25,Movie,Singh vs Kaur 2,2022,,tt16899022,Action
26,Movie,The Ronins,2022,1,tt17350108,Action
27,Movie,Revenge of the Taoist,2022,4,tt17374232,Action
28,Movie,I Swear I Promise,2022,2,tt17489004,Action
29,Movie,The Pirates: The Last Royal Treasure,2022,3,tt17491040,Action
30,Movie,Demon Sealer Bureau,2022,1,tt17492922,Action
31,Movie,Chia Khoa Tram Ty,2022,2,tt17494634,Action
32,Movie,Chia Khoa Tram Ty,2022,2,tt17507564,Action
33,Movie,Keep Your Enemies Closer,2022,12,tt17509916,Action
34,Movie,Angry Anna,2022,,tt17517914,Action
35,Movie,Balli Vs Birju,2022,4,tt17517842,Action
36,Movie,Loading Lonley Spot,2022,7,tt17519248,Action
37,Movie,Drug Stamps,2022,,tt17527058,Action
38,Movie,DushtaKoota,2022,12,tt17505176,Action
39,Movie,Decibel,2022,11,tt17494686,Action
40,Movie,"Run, Tiger, Run!",2022,2,tt17639060,Action
41,Movie,The Shoreway Disaster,2022,4,tt17696756,Action
42,Movie,Yi tin to lung gei 2,2022,2,tt17737156,Action
43,Movie,The Flock,2022,7,tt17937674,Action
44,Movie,The Violence Action,2022,8,tt17677492,Action
45,Movie,2039 Il Ultimo Silenzio,2022,2,tt17994344,Action
46,Movie,Koorman,2022,2,tt18071828,Action
47,Movie,Gully Gang,2022,2,tt18072950,Action
48,Movie,Bloodhound,2022,2,tt18076798,Action
49,Movie,Socorro: Beyond the Stars,2022,,tt18161070,Action
50,Movie,Moez,2022,2,tt18161114,Action
51,Movie,El sistema K.E.OP/S,2022,5,tt18183648,Action
52,Movie,Avengers: Rise of the Villains,2022,2,tt18183576,Action
53,Movie,RiffTrax: Fugitive Rage,2022,1,tt18226080,Action
54,Movie,2020 Golmaal,2022,2,tt18246372,Action
55,Movie,Teen Titans Go! & DC Super Hero Girls: Mayhem in the Multiverse,2022,5,tt18250460,Action
56,Movie,Hot Blooded,2022,11,tt18250780,Action
57,Movie,Przejęcie,2022,11,tt18082758,Action
58,Movie,Nene Nakshatra,2022,2,tt18257144,Action
59,Movie,24 Hours Hot Pursuit,2022,1,tt18259612,Action
60,Movie,Vishwak,2022,2,tt18266798,Action
61,Movie,De piraten van hiernaast: De ninja's van de overkant,2022,4,tt18274606,Action
62,Movie,A Champion for All,2022,,tt18259286,Action
63,Movie,Balraju,2022,7,tt18280338,Action
64,Movie,Las Tr3s Partes del Espejo,2022,,tt18282696,Action
65,Movie,Play-off 1st leg Porto - Lazio,2022,2,tt18291350,Action
66,Movie,Atalanta B.C. contro Juventus F.C.,2022,2,tt18298652,Action
67,Movie,West Ham United vs Newcastle United,2022,2,tt18298862,Action
68,Movie,Leicester City vs West Ham United,2022,2,tt18298860,Action
69,Movie,Atalanta B.C. - Internazionale Milano,2022,1,tt18305006,Action
70,Movie,Borussia Dortmund - SC Freiburg,2022,1,tt18305004,Action
71,Movie,ACF Fiorentina contro Atalanta B.C.,2022,2,tt18304950,Action
72,Movie,Chelsea - Tottenham Hotspur,2022,1,tt18304976,Action
73,Movie,Thrid Round Manchester United vs Aston Villa,2022,1,tt18305010,Action
74,Movie,Manchester City vs Chelsea,2022,1,tt18305000,Action
75,Movie,RCD Mallorca contra Cádiz CF,2022,2,tt18305026,Action
76,Movie,CA Osasuna contra Atlético de Madrid,2022,2,tt18304944,Action
77,Movie,Everton vs Aston Villa,2022,1,tt18304978,Action
78,Movie,Sevilla FC contra Elche CF,2022,2,tt18305024,Action
79,Movie,S.S. Lazio - Atalanta B.C.,2022,1,tt18304970,Action
80,Movie,Blades in the Darkness,2022,10,tt18309986,Action
81,Movie,Man's Creed,2022,2,tt18312532,Action
82,Movie,The Club II,2022,8,tt18312964,Action
83,Movie,Jericho Ridge,2022,,tt18313356,Action
84,Movie,Pride of a Lioness,2022,6,tt18329086,Action
85,Movie,Dude Nude,2022,8,tt18329136,Action
86,Movie,Pedro Undercover,2022,9,tt18334770,Action
87,Movie,Love Amongst Friends,2022,7,tt18335472,Action
88,Movie,Kikai Sentai Zenkaijâ Tai Kirameijâ Tai Senpaijâ,2022,4,tt18342066,Action
89,Movie,The Honor of the Filthy,2022,4,tt18342704,Action
90,Movie,Nasoor,2022,2,tt18344644,Action
91,Movie,Rusty Blade,2022,1,tt18346884,Action
92,Movie,House Squatch,2022,2,tt18349864,Action
93,Movie,The Ballet of the Red Phalarope,2022,10,tt18352504,Action
94,Movie,Fast & Feel Love,2022,4,tt18357588,Action
95,Movie,Shiba King: Assassination,2022,2,tt18362762,Action
96,Movie,La Canasta de Huevos,2022,2,tt18362032,Action
97,Movie,F.A.T.E.,2022,3,tt18362994,Action
98,Movie,Bayern München gegen SpVgg Greuther Fürth,2022,2,tt18363828,Action
99,Movie,Zhong Kui Exorcism,2022,1,tt18380542,Action
100,Movie,Mr. Franklin,2022,,tt18394986,Action
101,Movie,Mr. Franklin,2022,,tt18413076,Action
102,Movie,Amityville in Space,2022,7,tt18454132,Action
103,Movie,The Impact,2022,5,tt18450678,Action
104,Movie,Man on the Edge,2022,4,tt18500636,Action
105,Movie,Jatt Mafia -,2022,9,tt18550040,Action
106,Movie,The Mr.Harshukh Lal,2022,3,tt18555856,Action
107,Movie,The OctoGames,2022,10,tt18559720,Action
108,Movie,Mr. Pregnant,2022,,tt18559904,Action
109,Movie,Silverton Siege,2022,4,tt18563148,Action
110,Movie,Offline,2022,4,tt18562486,Action
111,Movie,La Chasse,2022,1,tt18601484,Action
112,Movie,Adarna Gang,2022,3,tt18601992,Action
113,Movie,Offline,2022,4,tt18646742,Action
114,Movie,Lucknow Junction,2022,1,tt18655010,Action
115,Movie,Fullmetal Alchemist: Final Transmutation,2022,9,tt18671660,Action
116,Movie,Fullmetal Alchemist: The Revenge of Scar,2022,8,tt18671386,Action
117,Movie,The Space-Fighter,2022,,tt18688746,Action
118,Movie,Xin zhi xu,2022,,tt18766596,Action
119,Movie,Kamen Rider Saber: Trio of Deep Sin,2022,1,tt18766736,Action
120,Movie,Sebastian PC 524,2022,3,tt18885164,Action
121,Movie,Hippies vs. Squirrelmen,2022,3,tt18924300,Action
122,Movie,Cosgrove Chronicles 2,2022,2,tt18952210,Action
123,Movie,Camisado: Presentation Reel,2022,,tt18949510,Action
124,Movie,RiffTrax: Max Havoc: Ring of Fire,2022,3,tt18956588,Action
125,Movie,Las Guerras del Narcotráfico,2022,1,tt18987308,Action
126,Movie,Viman,2022,3,tt18988120,Action
127,Movie,Fractures 3,2022,4,tt18989494,Action
128,Movie,Meteor: First Impact,2022,,tt19034784,Action
129,Movie,Aurelia La Texana,2022,4,tt19064550,Action
130,Movie,Rifftrax: Rapid Assault,2022,3,tt19072380,Action
131,Movie,Caste of Love,2022,,tt19072964,Action
132,Movie,Delphi Rising,2022,2,tt19113574,Action
133,Movie,Sir Mel Haze,2022,5,tt19116950,Action
134,Movie,Mega Lightning,2022,12,tt19119598,Action
135,Movie,Las Guerras del Narcotráfico Escobar Contraataca,2022,2,tt19119752,Action
136,Movie,Major Grom. Special,2022,1,tt19224780,Action
137,Movie,Black Site,2022,,tt19245020,Action
138,Movie,Meth Village,2022,3,tt19246034,Action
139,Movie,Siv Saagar's LIFT,2022,4,tt19264598,Action
140,Movie,Lift 8055,2022,4,tt19246412,Action
141,Movie,Batman: Darkness of Day,2022,6,tt19267476,Action
142,Movie,Varada,2022,2,tt19279196,Action
143,Movie,King of Thieves,2022,4,tt19309370,Action
144,Movie,La Canasta de Huevos 2,2022,none,tt19315416,Action
145,Movie,Torn Apart,2022,2,tt19339792,Action
146,Movie,Ganduli,2022,4,tt19360832,Action
147,Movie,SMG4 Movie: Revelations,2022,4,tt19361888,Action
148,Movie,Dawn's Early Light,2022,3,tt19369380,Action
149,Movie,Gangstar Munna,2022,2,tt19372510,Action
150,Movie,Tejas Kolekar,2022,4,tt19379402,Action
151,Movie,Las Guerras del Narcotráfico El retorno de LJ,2022,3,tt19396532,Action
152,Movie,Tri Tygri ve filmu: Jackpot,2022,5,tt19397296,Action
153,Movie,Bari,2022,4,tt19407476,Action
154,Movie,Boycott,2022,3,tt19410160,Action
155,Movie,Reshala: Brat,2022,5,tt19412968,Action
156,Movie,The Mighty Six Movie 2: Rise of the Villains,2022,7,tt19413850,Action
157,Movie,Untitled City Hunter Film,2022,,tt19413836,Action
158,Movie,Sed De Venganza En La Sangre,2022,5,tt19423614,Action
159,Movie,Yazhi,2022,,tt19482306,Action
160,Movie,The Diamond Texter,2022,4,tt19496190,Action
161,Movie,Kamran Is Karma,2022,7,tt19514250,Action
162,Movie,Moori,2022,4,tt19514306,Action
163,Movie,Champion,2022,10,tt19516596,Action
164,Movie,Stellar,2022,4,tt19632878,Action
165,Movie,Texas Kill City,2022,,tt19634006,Action
166,Movie,Underground Monster,2022,2,tt19638448,Action
167,Movie,Brotherhood,2022,9,tt19704920,Action
168,Movie,Outerspace: The Big Universe,2022,7,tt19711382,Action
169,Movie,Na venta paduthunna chinnadevadamma,2022,10,tt19712142,Action
170,Movie,The Killer,2022,7,tt19713090,Action
171,Movie,Red and Follow,2022,,tt19719634,Action
172,Movie,MC Helper beKINGs,2022,4,tt19754946,Action
173,Movie,Velsignelsen,2022,1,tt19756054,Action
174,Movie,Monagadu,2022,6,tt19756188,Action
175,Movie,New Gods: Yang Jian,2022,8,tt19757204,Action
176,Movie,4 Horsemen: Apocalypse,2022,4,tt19766560,Action
177,Movie,Leto 1941 goda,2022,4,tt19770590,Action
178,Movie,Detective Conan: The Bride of Halloween,2022,4,tt19770970,Action
179,Movie,Protection Detail,2022,5,tt19781894,Action
180,Movie,Vampiras: The Brides,2022,2,tt19766466,Action
181,Movie,High& low the worst,2022,9,tt19783642,Action
182,Movie,Love in Ukraine,2022,5,tt19797804,Action
183,Movie,Wasila Coded Reloaded,2022,4,tt19800646,Action
184,Movie,Battleworld,2022,8,tt19812358,Action
185,Movie,Nazi Gang,2022,4,tt19814182,Action
186,Movie,Naseeb Mera Dushman,2022,,tt19814804,Action
187,Movie,Glory,2022,4,tt19837986,Action
188,Movie,Subhadra,2022,,tt19819066,Action
189,Movie,Hell Dogs,2022,9,tt19845414,Action
190,Movie,Fear the Night,2022,,tt19848268,Action
