,type,name,release_year,release_month,id_imdb,genre
103,Movie,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,2024,2,tt30395619,Action
104,Movie,The Crypto: Dark Justice,2024,11,tt30396321,Action
105,Movie,Lothorin: Part Two,2024,12,tt30399520,Action
106,Movie,Toofan,2024,6,tt30415138,Action
107,Movie,Posledniy ronin,2024,12,tt30425001,Action
108,Movie,Cacophony the Animated Movie,2024,12,tt30446975,Action
109,Movie,Rebellion: War Across Nations,2024,5,tt30470734,Action
110,Movie,Operation Baraat,2024,4,tt30485382,Action
111,Movie,The Magnetic Fighters,2024,11,tt30476573,Action
112,Movie,The Crypto: Beyond,2024,10,tt30609082,Action
113,Movie,Troubleshooters,2024,10,tt30661504,Action
114,Movie,Huan qian,2024,2,tt30698096,Action
115,Movie,Jorge da Capadócia,2024,4,tt30768673,Action
116,Movie,Pariah Volume 1: Every Street Dog Has a Name,2024,2,tt30777379,Action
117,Movie,Boyz,2024,1,tt30808927,Action
118,Movie,Bush Knife,2024,3,tt30810211,Action
119,Movie,V pogone za kamnem,2024,1,tt30811417,Action
120,Movie,Villain,2024,1,tt30828548,Action
121,Movie,S.N.S.O.B - Supernatural Squad of Badasses Part 2,2024,5,tt30842302,Action
122,Movie,Xiao zi,2024,2,tt30842823,Action
123,Movie,Jaque Mate,2024,1,tt30850554,Action
124,Movie,The Expendables,2024,1,tt30850912,Action
125,Movie,Envidia la Película,2024,1,tt30869046,Action
126,Movie,Jiwa 8 Belas,2024,1,tt30887725,Action
127,Movie,Fast Furious,2024,1,tt30895352,Action
128,Movie,Chinatown Chacha,2024,1,tt30957694,Action
129,Movie,Lam see gip on,2024,1,tt30958950,Action
130,Movie,The Die Hard,2024,1,tt30961629,Action
131,Movie,Deserved It,2024,2,tt30970075,Action
132,Movie,Article 370,2024,2,tt30970235,Action
133,Movie,Torch Jamaica Drug Lord,2024,1,tt30970690,Action
134,Movie,Eye for an Eye 2,2024,2,tt30972810,Action
135,Movie,Hell City,2024,none,tt30979442,Action
136,Movie,The Dark Night,2024,1,tt30981375,Action
137,Movie,Sehnsucht nach Firdaws,2024,1,tt30984911,Action
138,Movie,Get Close 2,2024,6,tt30985567,Action
139,Movie,Samandar,2024,5,tt30985568,Action
140,Movie,Ohsama Sentai King-Ohger vs. Kyoryuger,2024,4,tt30990790,Action
141,Movie,Ohsama Sentai King-Ohger vs. Donbrothers,2024,4,tt30990872,Action
142,Movie,Avengers,2024,1,tt30997271,Action
143,Movie,Back for Life,2024,9,tt30996130,Action
144,Movie,Bonnie,2024,2,tt31022272,Action
145,Movie,Behind Enemy Lines,2024,1,tt31023788,Action
146,Movie,The Vent,2024,2,tt31029252,Action
147,Movie,Super Vixens 7,2024,6,tt31038701,Action
148,Movie,The Alexandrian,2024,1,tt31048146,Action
149,Movie,Sarkari Rozgaar,2024,11,tt31068530,Action
150,Movie,Mandya Haida,2024,2,tt31079401,Action
151,Movie,Fast Atlanta,2024,4,tt31093131,Action
152,Movie,Malditos fantasmas,2024,10,tt31115532,Action
153,Movie,Megamind och Undergångssyndikatet,2024,3,tt31122323,Action
154,Movie,E-mail,2024,2,tt31149938,Action
155,Movie,Xi zhuang bao tu,2024,1,tt31152127,Action
156,Movie,Kizumonogatari: Koyomi Vamp,2024,1,tt31152166,Action
157,Movie,Rooban,2024,4,tt31152181,Action
158,Movie,Crypto Storm,2024,1,tt31159130,Action
159,Movie,Wayward,2024,12,tt31169791,Action
160,Movie,The Queens Ball,2024,5,tt31171309,Action
161,Movie,Tal Matal,2024,2,tt31194647,Action
162,Movie,Pikmin Forever,2024,1,tt31215789,Action
163,Movie,Ajay Gadu,2024,1,tt31216055,Action
164,Movie,The One and Only: Spider-Man,2024,5,tt31241468,Action
165,Movie,ChickenMan,2024,1,tt31250810,Action
166,Movie,Zakhvat,2024,2,tt31258919,Action
167,Movie,Happy Dragons,2024,2,tt31261135,Action
168,Movie,I Heart Robots,2024,none,tt31306866,Action
169,Movie,Koresha,2024,10,tt31308511,Action
170,Movie,Jurassic Exorcist,2024,9,tt31311119,Action
171,Movie,RedSin: Martyrs of Dissent,2024,2,tt31313928,Action
172,Movie,Janna Endoro,2024,2,tt31315486,Action
173,Movie,Enimey Nangadha Head Lines,2024,4,tt31321746,Action
174,Movie,Oversteer,2024,1,tt31383416,Action
175,Movie,In the Woods,2024,,tt31389264,Action
176,Movie,Bharkhama,2024,7,tt31389684,Action
177,Movie,Taxi Bosses,2024,1,tt31383093,Action
178,Movie,Jimmy's Friends,2024,3,tt31408607,Action
179,Movie,2032: Pako Varissuolta,2024,2,tt31435118,Action
180,Movie,Miles Morales: A New Hero,2024,,tt31450653,Action
181,Movie,Beyond: Part One,2024,10,tt31451138,Action
182,Movie,Kingudamu Daishôgun no Kikan,2024,7,tt31457736,Action
183,Movie,Too Little Too Late,2024,2,tt31456573,Action
184,Movie,Raja 420,2024,4,tt31462825,Action
185,Movie,Zen Fist,2024,2,tt31492821,Action
186,Movie,Mo lu kuang dao,2024,3,tt31494700,Action
187,Movie,Marni: The Story of Wewe Gombel,2024,6,tt31495280,Action
188,Movie,The Brofessors Return,2024,3,tt31511073,Action
189,Movie,Half Moon Bay,2024,7,tt31513054,Action
190,Movie,Sicarius,2024,3,tt31521633,Action
191,Movie,The Grey Man,2024,2,tt31523052,Action
192,Movie,Snow White and the Seven Samurai,2024,3,tt31530596,Action
193,Movie,Another Space: Part One,2024,10,tt31545409,Action
194,Movie,A Lonely Place to Die,2024,3,tt31546944,Action
195,Movie,Pakal Iravu,2024,,tt31583554,Action
196,Movie,Rang De Basanti,2024,6,tt31591241,Action
197,Movie,Holy Punch,2024,3,tt31597833,Action
198,Movie,Dora du Gaza,2024,4,tt31608769,Action
199,Movie,Vakoojakoulun Varamiehet,2024,3,tt31614338,Action
200,Movie,Dink Legacy,2024,3,tt31615423,Action
201,Movie,Tiger's Trigger,2024,3,tt31624202,Action
202,Movie,The Circuit 4: Faith Fighter,2024,9,tt31629710,Action
203,Movie,Died Doin Dirty Work,2024,4,tt31630821,Action
204,Movie,Hijack 1971,2024,6,tt31624258,Action
205,Movie,Isabella: Diary of A Foster Girl,2024,none,tt31638408,Action
206,Movie,"Bernadotte, Louise & Napoleon",2024,7,tt31644773,Action
207,Movie,Anaconda,2024,3,tt31645102,Action
208,Movie,Remand,2024,9,tt31645600,Action
209,Movie,Robbin' Hoods,2024,3,tt31690646,Action
210,Movie,The Birth,2024,6,tt31692378,Action
211,Movie,Ji e,2024,2,tt31704401,Action
212,Movie,Justice League: Crisis on Infinite Earths - Part Two,2024,4,tt30150907,Action
213,Movie,PW V: Tears of the Fallen,2024,1,tt31066103,Action
214,Movie,Akabane Honeko no Bodyguard,2024,8,tt31557623,Action
215,Movie,Las Viudas del Capo 2,2024,3,tt31563873,Action
216,Movie,Karate Cops,2024,2,tt31718662,Action
217,Movie,Maverick from the edge,2024,2,tt31721742,Action
218,Movie,Surrender,2024,4,tt31725814,Action
219,Movie,The Club III,2024,8,tt31790164,Action
220,Movie,Hattichhap,2024,2,tt31789137,Action
221,Movie,Yamadheera,2024,3,tt31804488,Action
222,Movie,Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,2024,9,tt31806053,Action
223,Movie,Dragon,2024,3,tt31806068,Action
224,Movie,Rebel,2024,5,tt31850446,Action
225,Movie,Di Renjie zhi Tongtian xuan an,2024,2,tt31851880,Action
226,Movie,Baki Hanma VS Kengan Ashura,2024,6,tt31869664,Action
227,Movie,Kek 2,2024,5,tt31888121,Action
228,Movie,Gauri Shankar ki Prem Kahani,2024,,tt31898764,Action
229,Movie,Red vs. Blue: Restoration,2024,5,tt31946567,Action
230,Movie,Pottel,2024,none,tt31948043,Action
231,Movie,"La Protegida, La Película",2024,3,tt31948772,Action
232,Movie,Jongli,2024,6,tt31951179,Action
233,Movie,Simhadwani,2024,4,tt31962200,Action
234,Movie,Tian Keng Ying Lie,2024,4,tt31973838,Action
235,Movie,Mercy Killing,2024,4,tt31986077,Action
236,Movie,The SML YTP Movie 2: Dimension Trouble,2024,3,tt32009405,Action
237,Movie,Appu,2024,4,tt32020028,Action
238,Movie,Correr para Vivir,2024,4,tt32027823,Action
239,Movie,The Codes of War,2024,none,tt32044730,Action
240,Movie,Bride with the white hair,2024,none,tt32058493,Action
241,Movie,Tales Beyond the Galaxy,2024,none,tt32044814,Action
242,Movie,Sayen: La Cazadora,2024,4,tt32063728,Action
243,Movie,Kung Fu,2024,none,tt32080771,Action
244,Movie,Roudhra Rupaya,2024,4,tt32081990,Action
245,Movie,"I, The Executioner",2024,5,tt32086021,Action
246,Movie,Die Hart 2: Die Harter,2024,5,tt32094375,Action
247,Movie,Soy creativa,2024,3,tt31722836,Action
248,Movie,Firework,2024,6,tt31778961,Action
249,Movie,Hard Ride,2024,4,tt32031888,Action
250,Movie,Captain Toad and the Mystery Mine,2024,4,tt32109331,Action
251,Movie,Neighborhood War: The Movie,2024,7,tt32110003,Action
252,Movie,Governor's Plea,2024,2,tt32110151,Action
253,Movie,COMBAT Code: Hunt,2024,4,tt32119112,Action
254,Movie,The Lord of the Monsters,2024,3,tt32126636,Action
255,Movie,Nenu Keerthana,2024,,tt32130925,Action
256,Movie,The Mortician,2024,4,tt32132740,Action
257,Movie,Seetha Kalyana Vaibhogame,2024,6,tt32134802,Action
258,Movie,The Manizer,2024,none,tt32132901,Action
259,Movie,Memes & Nightmares,2024,6,tt32147189,Action
260,Movie,They're Here,2024,6,tt32150467,Action
261,Movie,Full Throttle 2,2024,4,tt32150914,Action
262,Movie,Charming Men: Part 2 - Camilla,2024,6,tt32151168,Action
263,Movie,Kaale Angrej,2024,4,tt32151823,Action
264,Movie,The Incredible 7,2024,5,tt32160590,Action
265,Movie,No More Awesome Action Movies,2024,12,tt32161271,Action
266,Movie,Guide,2024,2,tt32161844,Action
267,Movie,Vampires Saga,2024,,tt32161887,Action
268,Movie,My Hero Academia the Movie: You're Next,2024,8,tt32176689,Action
269,Movie,Abudeka Is Back,2024,5,tt32176659,Action
270,Movie,Kamen Rider Gotchard: The Future Daybreak,2024,7,tt32187228,Action
271,Movie,Brotherhood of Blades 3: The Embroidered Sword,2024,4,tt32192757,Action
272,Movie,Lorry Chapter-1,2024,8,tt32206571,Action
273,Movie,Partner Kannada,2024,4,tt32207504,Action
274,Movie,Royal Flush,2024,4,tt32214314,Action
275,Movie,Beacon of ming,2024,,tt32216057,Action
276,Movie,Super Vixens 8,2024,9,tt32219579,Action
277,Movie,No Time to Spy: A Loud House Movie,2024,6,tt32223312,Action
278,Movie,Juz (fight against drugs),2024,8,tt32230604,Action
279,Movie,Athhoi,2024,6,tt32241523,Action
280,Movie,School of Magical Animals 3,2024,9,tt32241578,Action
281,Movie,Unglorified,2024,6,tt32253253,Action
282,Movie,Bodyguard for Sweetheart,2024,6,tt32254400,Action
